MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
D-4_megahit_metabat_bin-66,bin-66:07/11_103,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-66,bin-66:01/11_9,Cyc2_repCluster1,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:15/44_101,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:02/44_19,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:03/44_2,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:41/44_127,Cyc2_repCluster1,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:10/44_34,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:02/44_10,DFE_0461,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-03,bin-03:11/44_30,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-14,bin-14:181/660_2,ImcH,Not_found,Not_found,ImcH&Outer_Surface_MHC&,
D-4_megahit_metabat_bin-14,bin-14:280/660_2,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-14,bin-14:047/660_5,DFE_0448,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-14,bin-14:078/660_5,DFE_0449,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-82,bin-82:028/259_3,MtoA,Not_found,Not_found,MtoA&,
D-4_megahit_metabat_bin-82,bin-82:028/259_4,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-82,bin-82:127/259_11,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-82,bin-82:193/259_34,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D-4_megahit_metabat_bin-44,bin-44:322/596_6,ImcH,Not_found,Not_found,ImcH&,
D-4_megahit_metabat_bin-44,bin-44:408/596_10,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-44,bin-44:297/596_6,DFE_0461,Not_found,Not_found,Irrelevant
D-4_megahit_metabat_bin-44,bin-44:322/596_9,DFE_0461,Not_found,Not_found,Irrelevant
