MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
Ki2-D4_megahit_metabat_bin-1014,6,0,5,0,1
Ki2-D4_megahit_metabat_bin-1049,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-1197,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0461,9,1,6,1,1
Ki2-D4_megahit_metabat_bin-0525,1,0,1,0,0
Ki2-D4_megahit_metabat_bin-1210,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0460,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0596,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0139,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-1003,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0084,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0170,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0800,5,0,3,0,2
Ki2-D4_megahit_metabat_bin-1072,9,0,7,0,2
Ki2-D4_megahit_metabat_bin-0471,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0935,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0236,9,0,7,0,2
Ki2-D4_megahit_metabat_bin-0699,5,0,4,0,1
Ki2-D4_megahit_metabat_bin-1154,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0628,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0780,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0082,1,0,1,0,0
Ki2-D4_megahit_metabat_bin-0470,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0675,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0101,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0307,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0364,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-1006,5,1,3,1,0
Ki2-D4_megahit_metabat_bin-0174,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0221,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0103,7,1,3,3,0
Ki2-D4_megahit_metabat_bin-1169,1,0,1,0,0
Ki2-D4_megahit_metabat_bin-0025,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0809,1,0,1,0,0
Ki2-D4_megahit_metabat_bin-1295,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0650,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-1303,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0454,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0437,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-1231,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0409,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-1294,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0631,6,1,2,3,0
Ki2-D4_megahit_metabat_bin-0760,3,1,1,1,0
Ki2-D4_megahit_metabat_bin-0197,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0392,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0267,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0001,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0144,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0229,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0121,5,1,2,2,0
Ki2-D4_megahit_metabat_bin-0007,13,1,8,1,3
Ki2-D4_megahit_metabat_bin-0394,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0070,8,1,4,1,2
Ki2-D4_megahit_metabat_bin-0772,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0185,1,0,1,0,0
Ki2-D4_megahit_metabat_bin-0948,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0692,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0298,7,0,6,0,1
Ki2-D4_megahit_metabat_bin-0005,4,0,3,0,1
Ki2-D4_megahit_metabat_bin-1209,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0599,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0825,1,0,1,0,0
Ki2-D4_megahit_metabat_bin-1027,4,0,4,0,0
Ki2-D4_megahit_metabat_bin-1044,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-1082,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0073,4,0,3,0,1
Ki2-D4_megahit_metabat_bin-0215,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0598,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-1050,0,0,0,0,0
Ki2-D4_megahit_metabat_bin-0480,3,0,2,0,1
Ki2-D4_megahit_metabat_bin-0122,0,0,0,0,0
