MAG,orf,FeGenie_HMM,Shaomei_Type
B4_megahit_metabat_bin-140,bin-140:459/813_1,DFE_0461,Outer Surface MHC
B4_megahit_metabat_bin-451,bin-451:2020/2100_3,Cyc2_repCluster3,Not found
B4_megahit_metabat_bin-451,bin-451:0970/2100_2,MtrA,Not found
B4_megahit_metabat_bin-120,bin-120:106/567_10,CbcL,Not found
B4_megahit_metabat_bin-120,bin-120:464/567_1,ImcH,Not found
B4_megahit_metabat_bin-120,bin-120:106/567_14,DFE_0462,Periplasmic MHC in PCC
B4_megahit_metabat_bin-120,bin-120:106/567_17,DFE_0462,Outer Surface MHC
B4_megahit_metabat_bin-120,bin-120:134/567_11,DFE_0461,Not found
B4_megahit_metabat_bin-217,bin-217:520/544_6,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-217,bin-217:202/544_2,FoxZ,Not found
B4_megahit_metabat_bin-392,bin-392:340/990_1,DFE_0462,Not found
B4_megahit_metabat_bin-258,bin-258:411/838_1,CbcL,Not found
B4_megahit_metabat_bin-258,bin-258:188/838_3,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-258,bin-258:349/838_5,DFE_0449,Not found
B4_megahit_metabat_bin-060,Not found,Not found,Not found
B4_megahit_metabat_bin-195,bin-195:02/61_57,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-195,bin-195:29/61_34,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-369,Not found,Not found,Not found
B4_megahit_metabat_bin-618,Not found,Not found,Not found
B4_megahit_metabat_bin-423,bin-423:20/70_4,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-423,bin-423:20/70_35,Cyc2_repCluster3,Not found
B4_megahit_metabat_bin-175,Not found,Not found,Not found
B4_megahit_metabat_bin-053,bin-053:137/324_11,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-053,bin-053:041/324_10,DFE_0461,Not found
B4_megahit_metabat_bin-053,bin-053:175/324_3,,Not found
B4_megahit_metabat_bin-554,bin-554:1733/1969_2,CbcL,Not found
B4_megahit_metabat_bin-554,bin-554:1733/1969_3,ImcH,Not found
B4_megahit_metabat_bin-554,bin-554:0621/1969_2,ImcH,Not found
B4_megahit_metabat_bin-554,bin-554:1963/1969_2,CbcL,Not found
B4_megahit_metabat_bin-554,bin-554:1265/1969_16,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-554,bin-554:1878/1969_5,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-554,bin-554:0670/1969_2,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-554,bin-554:0435/1969_2,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-554,bin-554:1105/1969_2,DFE_0449,Not found
B4_megahit_metabat_bin-586,Not found,Not found,Not found
B4_megahit_metabat_bin-291,bin-291:131/822_13,CbcL,Not found
B4_megahit_metabat_bin-291,bin-291:645/822_3,MtoA,Not found
B4_megahit_metabat_bin-236,bin-236:756/941_4,DFE_0462,Not found
B4_megahit_metabat_bin-018,bin-018:0142/1442_2,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-553,bin-553:230/276_1,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-553,bin-553:230/276_2,Cyc1,Not found
B4_megahit_metabat_bin-553,bin-553:255/276_2,DFE_0462,Not found
B4_megahit_metabat_bin-219,bin-219:204/664_1,ImcH,Not found
B4_megahit_metabat_bin-219,bin-219:204/664_2,CbcL,Not found
B4_megahit_metabat_bin-219,bin-219:445/664_1,CbcL,Not found
B4_megahit_metabat_bin-219,bin-219:013/664_1,DFE_0465,Not found
B4_megahit_metabat_bin-219,bin-219:120/664_1,DFE_0465,Not found
B4_megahit_metabat_bin-525,bin-525:280/443_1,Cyc1,Not found
B4_megahit_metabat_bin-525,bin-525:280/443_2,Cyc2_repCluster2,Not found
B4_megahit_metabat_bin-525,bin-525:245/443_2,DFE_0462,Not found
B4_megahit_metabat_bin-417,bin-417:046/179_22,ImcH,Periplasmic MHC in PCC
B4_megahit_metabat_bin-417,bin-417:046/179_25,DFE_0461,Outer Surface MHC
B4_megahit_metabat_bin-417,bin-417:015/179_8,Not found,Outer Surface MHC
B4_megahit_metabat_bin-612,Not found,Not found,Not found
