MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
F-4_megahit_metabat_bin-041,0,0,0,0,0
F-4_megahit_metabat_bin-054,0,0,0,0,0
F-4_megahit_metabat_bin-102,0,0,0,0,0
F-4_megahit_metabat_bin-024,19,1,16,1,1
F-4_megahit_metabat_bin-026,13,3,1,7,2
F-4_megahit_metabat_bin-097,1,0,1,0,0
F-4_megahit_metabat_bin-063,0,0,0,0,0
F-4_megahit_metabat_bin-000,5,1,3,1,0
F-4_megahit_metabat_bin-015,0,0,0,0,0
F-4_megahit_metabat_bin-076,0,0,0,0,0
F-4_megahit_metabat_bin-001,2,0,2,0,0
F-4_megahit_metabat_bin-132,0,0,0,0,0
F-4_megahit_metabat_bin-017,0,0,0,0,0
F-4_megahit_metabat_bin-066,0,0,0,0,0
F-4_megahit_metabat_bin-012,0,0,0,0,0
