MAG,orf,FeGenie_HMM,Shaomei_Type
D-3_megahit_metabat_bin-66,bin-66:20/42_8,Cyc2_repCluster3,Not_found
D-3_megahit_metabat_bin-66,bin-66:18/42_95,DFE_0461,Not_found
D-3_megahit_metabat_bin-66,bin-66:25/42_43,Cyc2_repCluster1,Not_found
D-3_megahit_metabat_bin-03,bin-03:184/887_4,Cyc2_repCluster2,Not_found
D-3_megahit_metabat_bin-03,bin-03:550/887_1,CbcL,Not_found
D-3_megahit_metabat_bin-03,bin-03:149/887_1,CbcL,Not_found
D-3_megahit_metabat_bin-03,bin-03:631/887_2,DFE_0461,Not_found
D-3_megahit_metabat_bin-28,bin-28:14/52_150,Cyc2_repCluster1,Not_found
D-3_megahit_metabat_bin-28,bin-28:12/52_47,Cyc2_repCluster3,Not_found
D-3_megahit_metabat_bin-28,bin-28:49/52_25,Cyc2_repCluster3,Not_found
D-3_megahit_metabat_bin-28,bin-28:08/52_37,Cyc2_repCluster3,Not_found
D-3_megahit_metabat_bin-28,bin-28:13/52_1,Cyc2_repCluster3,Not_found
D-3_megahit_metabat_bin-28,bin-28:12/52_56,DFE_0461,Not_found
D-3_megahit_metabat_bin-28,bin-28:12/52_95,Cyc2_repCluster3,Not_found
D-3_megahit_metabat_bin-19,bin-19:190/535_2,Cyc2_repCluster2,Not_found
D-3_megahit_metabat_bin-19,bin-19:192/535_3,MtoA,Not_found
D-3_megahit_metabat_bin-19,bin-19:192/535_4,MtrB_TIGR03509,Not_found
D-3_megahit_metabat_bin-19,bin-19:218/535_3,Not_found,Outer_Surface_MHC
D-3_megahit_metabat_bin-26,bin-26:144/603_15,CbcL,Not_found
D-3_megahit_metabat_bin-26,bin-26:158/603_2,Cyc2_repCluster3,Not_found
D-3_megahit_metabat_bin-26,bin-26:045/603_5,CbcA,Not_found
D-3_megahit_metabat_bin-26,bin-26:167/603_1,CbcA,Not_found
D-3_megahit_metabat_bin-26,bin-26:167/603_2,CbcB,Not_found
D-3_megahit_metabat_bin-26,bin-26:285/603_11,ImcH,Not_found
D-3_megahit_metabat_bin-26,bin-26:522/603_6,OmcF,Not_found
D-3_megahit_metabat_bin-26,bin-26:534/603_5,637127430_NP_953784_{porin}_ombB_hypothetical_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],PCC_porin
D-3_megahit_metabat_bin-26,bin-26:534/603_6,642769371_YP_002140171_{pc}_hypothetical_protein_[Geobacter_bemidjiensis_Bem:_NC_011146],Outer_Surface_MHC_in_PCC
D-3_megahit_metabat_bin-26,bin-26:534/603_7,640548485_YP_001229768_{omc}_hypothetical_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC_in_PCC
D-3_megahit_metabat_bin-26,bin-26:076/603_4,DFE_0449,Not_found
D-3_megahit_metabat_bin-26,bin-26:144/603_13,DFE_0448,Not_found
D-3_megahit_metabat_bin-26,bin-26:167/603_3,DFE_0448,Not_found
D-3_megahit_metabat_bin-26,bin-26:386/603_3,DFE_0462,Outer_Surface_MHC
D-3_megahit_metabat_bin-26,bin-26:349/603_14,Not_found,Periplasmic_MHC_in_PCC
D-3_megahit_metabat_bin-26,bin-26:349/603_21,Not_found,Periplasmic_MHC_in_PCC
D-3_megahit_metabat_bin-26,bin-26:065/603_2,Not_found,Outer_Surface_MHC
D-3_megahit_metabat_bin-26,bin-26:069/603_1,Not_found,Outer_Surface_MHC
D-3_megahit_metabat_bin-26,bin-26:110/603_3,Not_found,Outer_Surface_MHC
D-3_megahit_metabat_bin-26,bin-26:158/603_1,Not_found,Outer_Surface_MHC
D-3_megahit_metabat_bin-26,bin-26:349/603_20,Not_found,Outer_Surface_MHC
D-3_megahit_metabat_bin-26,bin-26:378/603_1,Not_found,Outer_Surface_MHC
D-3_megahit_metabat_bin-26,bin-26:539/603_6,Not_found,Outer_Surface_MHC
D-3_megahit_metabat_bin-57,Not_found,Not_found,Not_found
