MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
MJ-2014-D1_megahit_metabat_bin-0792,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0106,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0300,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0055,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0461,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0531,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0282,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0665,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0987,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0129,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0867,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0662,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-1011,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0255,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0293,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0746,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0097,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0753,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0063,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0150,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0988,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0258,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0647,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0485,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0678,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0077,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0887,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0061,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0194,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0855,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0368,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0762,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0356,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0066,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0771,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0853,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0481,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0684,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0010,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0326,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0201,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0067,3,0,3,0,0
MJ-2014-D1_megahit_metabat_bin-0999,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0608,0,0,0,0,0
MJ-2014-D1_megahit_metabat_bin-0228,0,0,0,0,0
