MAG,orf,FeGenie_HMM,Shaomei_Type
I3-5_megahit_metabat_bin-213,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-619,bin-619:175/989_2,Cyc1,Not_found
I3-5_megahit_metabat_bin-619,bin-619:175/989_3,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-441,bin-441:082/145_44,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-441,bin-441:140/145_17,DFE_0449,Not_found
I3-5_megahit_metabat_bin-441,bin-441:140/145_3,FoxZ,Not_found
I3-5_megahit_metabat_bin-368,bin-368:172/724_2,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-368,bin-368:024/724_1,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-368,bin-368:024/724_2,Cyc1,Not_found
I3-5_megahit_metabat_bin-368,bin-368:021/724_1,MtrC_TIGR03507,Not_found
I3-5_megahit_metabat_bin-368,bin-368:048/724_1,DFE_0449,Not_found
I3-5_megahit_metabat_bin-368,bin-368:215/724_2,MtrB_TIGR03509,Not_found
I3-5_megahit_metabat_bin-368,bin-368:476/724_1,MtrC_TIGR03507,Outer_Surface_MHC
I3-5_megahit_metabat_bin-368,bin-368:628/724_1,MtrC_TIGR03507,Outer_Surface_MHC
I3-5_megahit_metabat_bin-368,bin-368:679/724_1,MtrC_TIGR03507,Outer_Surface_MHC
I3-5_megahit_metabat_bin-265,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-002,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-680,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-000,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-679,bin-679:335/850_3,Cyc1,Not_found
I3-5_megahit_metabat_bin-679,bin-679:335/850_4,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-577,bin-577:442/604_2,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-577,bin-577:592/604_3,MtoA,Not_found
I3-5_megahit_metabat_bin-260,bin-260:097/688_3,CbcL,Not_found
I3-5_megahit_metabat_bin-260,bin-260:097/688_4,CbcL,Not_found
I3-5_megahit_metabat_bin-260,bin-260:348/688_4,DFE_0462,Periplasmic_MHC_in_PCC
I3-5_megahit_metabat_bin-260,bin-260:348/688_7,DFE_0462,Outer_Surface_MHC
I3-5_megahit_metabat_bin-576,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-563,bin-563:0668/1029_4,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-059,bin-059:0573/1307_1,MtrB_TIGR03509,Not_found
I3-5_megahit_metabat_bin-059,bin-059:1027/1307_2,MtoA,Not_found
I3-5_megahit_metabat_bin-332,bin-332:0357/1084_2,DFE_0462,Not_found
I3-5_megahit_metabat_bin-332,bin-332:0367/1084_1,Not_found,Outer_Surface_MHC
I3-5_megahit_metabat_bin-382,bin-382:0974/2033_1,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-382,bin-382:0176/2033_4,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-382,bin-382:0176/2033_5,Cyc1,Not_found
I3-5_megahit_metabat_bin-382,bin-382:1167/2033_3,Cyc1,Not_found
I3-5_megahit_metabat_bin-382,bin-382:1167/2033_4,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-382,bin-382:0955/2033_1,MtoA,Not_found
I3-5_megahit_metabat_bin-382,bin-382:0955/2033_2,MtrB_TIGR03509,Not_found
I3-5_megahit_metabat_bin-382,bin-382:0187/2033_2,MtoA,Not_found
I3-5_megahit_metabat_bin-382,bin-382:0187/2033_4,MtrB_TIGR03509,Not_found
I3-5_megahit_metabat_bin-382,bin-382:0973/2033_1,CbcL,Not_found
I3-5_megahit_metabat_bin-382,bin-382:0187/2033_3,DFE_0465,Not_found
I3-5_megahit_metabat_bin-382,bin-382:1611/2033_2,MtrB_TIGR03509,Not_found
I3-5_megahit_metabat_bin-382,bin-382:1685/2033_2,MtoA,Periplasmic_MHC_in_PCC
I3-5_megahit_metabat_bin-382,bin-382:1685/2033_3,Not_found,Outer_Surface_MHC
I3-5_megahit_metabat_bin-643,bin-643:051/899_1,DFE_0462,Not_found
I3-5_megahit_metabat_bin-643,bin-643:254/899_1,DFE_0462,Outer_Surface_MHC
I3-5_megahit_metabat_bin-073,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-159,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-104,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-300,bin-300:617/899_6,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-300,bin-300:161/899_3,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-300,bin-300:087/899_1,MtrC_TIGR03507,Outer_Surface_MHC
I3-5_megahit_metabat_bin-105,Not_found,Not_found,Not_found
I3-5_megahit_metabat_bin-402,bin-402:353/353_39,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-402,bin-402:353/353_40,Cyc1,Not_found
I3-5_megahit_metabat_bin-402,bin-402:285/353_3,Cyc1,Not_found
I3-5_megahit_metabat_bin-402,bin-402:285/353_4,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-402,bin-402:200/353_20,CymA,Not_found
I3-5_megahit_metabat_bin-402,bin-402:200/353_21,MtrB_TIGR03509,Not_found
I3-5_megahit_metabat_bin-402,bin-402:200/353_22,MtoA,Not_found
I3-5_megahit_metabat_bin-402,bin-402:295/353_2,DFE_0462,Not_found
I3-5_megahit_metabat_bin-402,bin-402:019/353_2,Not_found,Outer_Surface_MHC
I3-5_megahit_metabat_bin-402,bin-402:116/353_3,Not_found,Outer_Surface_MHC
I3-5_megahit_metabat_bin-629,bin-629:508/831_2,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-305,bin-305:314/983_6,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-305,bin-305:314/983_7,Cyc1,Not_found
I3-5_megahit_metabat_bin-305,bin-305:288/983_5,MtoA,Not_found
I3-5_megahit_metabat_bin-305,bin-305:288/983_6,MtrB_TIGR03509,Not_found
I3-5_megahit_metabat_bin-305,bin-305:288/983_7,CymA,Not_found
I3-5_megahit_metabat_bin-305,bin-305:549/983_2,MtrB_TIGR03509,Not_found
I3-5_megahit_metabat_bin-305,bin-305:677/983_1,MtoA,Periplasmic_MHC_in_PCC
I3-5_megahit_metabat_bin-305,bin-305:677/983_2,MtrC_TIGR03507,Outer_Surface_MHC
I3-5_megahit_metabat_bin-534,bin-534:556/807_5,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-600,bin-600:0598/2411_1,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-600,bin-600:2087/2411_2,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-600,bin-600:0385/2411_2,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-600,bin-600:0385/2411_3,Cyc1,Not_found
I3-5_megahit_metabat_bin-600,bin-600:1008/2411_1,Cyc2_repCluster2,Not_found
I3-5_megahit_metabat_bin-600,bin-600:1008/2411_2,Cyc1,Not_found
I3-5_megahit_metabat_bin-600,bin-600:1944/2411_2,DFE_0449,Not_found
