MAG,orf,FeGenie_HMM,Shaomei_Type
B4-5_megahit_metabat_bin-114,Not found,Not found,Not found
B4-5_megahit_metabat_bin-359,Not found,Not found,Not found
B4-5_megahit_metabat_bin-581,bin-581:115/135_14,CbcL,Not found
B4-5_megahit_metabat_bin-581,bin-581:050/135_12,CbcL,Not found
B4-5_megahit_metabat_bin-581,bin-581:050/135_13,ImcH,Not found
B4-5_megahit_metabat_bin-581,bin-581:111/135_7,DFE_0462,Periplasmic MHC in PCC
B4-5_megahit_metabat_bin-581,bin-581:111/135_2,Not found,Outer Surface MHC
B4-5_megahit_metabat_bin-581,bin-581:111/135_6,Not found,Outer Surface MHC
B4-5_megahit_metabat_bin-244,bin-244:1132/1792_1,Not found,Outer Surface MHC
B4-5_megahit_metabat_bin-462,Not found,Not found,Not found
B4-5_megahit_metabat_bin-188,Not found,Not found,Not found
B4-5_megahit_metabat_bin-640,bin-640:499/524_2,Cyc2_repCluster3,Not found
B4-5_megahit_metabat_bin-637,bin-637:0661/1949_4,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-637,bin-637:0331/1949_1,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-657,bin-657:0199/1189_1,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-657,bin-657:0452/1189_1,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-657,bin-657:0776/1189_1,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-657,bin-657:0828/1189_2,Not found,Outer Surface MHC
B4-5_megahit_metabat_bin-560,Not found,Not found,Not found
B4-5_megahit_metabat_bin-480,bin-480:014/671_2,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-480,bin-480:264/671_2,DFE_0461,Not found
B4-5_megahit_metabat_bin-620,bin-620:0507/1745_2,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-620,bin-620:0697/1745_3,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-000,bin-000:1870/2136_1,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-000,bin-000:0815/2136_1,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-000,bin-000:0196/2136_4,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-000,bin-000:0997/2136_1,Cyc2_repCluster2,Not found
B4-5_megahit_metabat_bin-266,Not found,Not found,Not found
B4-5_megahit_metabat_bin-273,bin-273:016/891_2,MtrC_TIGR03507,Outer Surface MHC
B4-5_megahit_metabat_bin-273,bin-273:236/891_5,MtrC_TIGR03507,Outer Surface MHC
B4-5_megahit_metabat_bin-273,bin-273:343/891_2,MtrC_TIGR03507,Outer Surface MHC
B4-5_megahit_metabat_bin-273,bin-273:518/891_1,MtrC_TIGR03507,Outer Surface MHC
B4-5_megahit_metabat_bin-273,bin-273:592/891_1,MtrB_TIGR03509,Not found
B4-5_megahit_metabat_bin-273,bin-273:668/891_1,MtrA,Not found
B4-5_megahit_metabat_bin-273,bin-273:837/891_1,MtrB_TIGR03509,Not found
B4-5_megahit_metabat_bin-273,bin-273:888/891_1,DFE_0449,Outer Surface MHC
B4-5_megahit_metabat_bin-273,bin-273:098/891_1,Not found,Outer Surface MHC
B4-5_megahit_metabat_bin-273,bin-273:137/891_1,Not found,Outer Surface MHC
B4-5_megahit_metabat_bin-273,bin-273:516/891_1,Not found,Outer Surface MHC
B4-5_megahit_metabat_bin-273,bin-273:797/891_1,Not found,Outer Surface MHC
