MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
MJ1_megahit_metabat_bin-0097,0,0,0,0,0
MJ1_megahit_metabat_bin-1200,0,0,0,0,0
MJ1_megahit_metabat_bin-0534,0,0,0,0,0
MJ1_megahit_metabat_bin-0100,0,0,0,0,0
MJ1_megahit_metabat_bin-0373,0,0,0,0,0
MJ1_megahit_metabat_bin-0866,0,0,0,0,0
MJ1_megahit_metabat_bin-0509,0,0,0,0,0
MJ1_megahit_metabat_bin-0047,0,0,0,0,0
MJ1_megahit_metabat_bin-0992,0,0,0,0,0
MJ1_megahit_metabat_bin-1038,0,0,0,0,0
MJ1_megahit_metabat_bin-0613,0,0,0,0,0
MJ1_megahit_metabat_bin-0531,0,0,0,0,0
MJ1_megahit_metabat_bin-0815,0,0,0,0,0
MJ1_megahit_metabat_bin-0448,0,0,0,0,0
MJ1_megahit_metabat_bin-0329,0,0,0,0,0
MJ1_megahit_metabat_bin-0666,0,0,0,0,0
MJ1_megahit_metabat_bin-0065,0,0,0,0,0
MJ1_megahit_metabat_bin-1221,0,0,0,0,0
MJ1_megahit_metabat_bin-0882,0,0,0,0,0
MJ1_megahit_metabat_bin-0274,0,0,0,0,0
MJ1_megahit_metabat_bin-1025,0,0,0,0,0
MJ1_megahit_metabat_bin-0999,0,0,0,0,0
MJ1_megahit_metabat_bin-1018,0,0,0,0,0
MJ1_megahit_metabat_bin-0140,0,0,0,0,0
MJ1_megahit_metabat_bin-0910,0,0,0,0,0
MJ1_megahit_metabat_bin-1164,0,0,0,0,0
MJ1_megahit_metabat_bin-0422,0,0,0,0,0
MJ1_megahit_metabat_bin-0972,0,0,0,0,0
MJ1_megahit_metabat_bin-0289,0,0,0,0,0
MJ1_megahit_metabat_bin-0626,0,0,0,0,0
MJ1_megahit_metabat_bin-0510,0,0,0,0,0
MJ1_megahit_metabat_bin-0490,0,0,0,0,0
MJ1_megahit_metabat_bin-0197,0,0,0,0,0
MJ1_megahit_metabat_bin-0565,0,0,0,0,0
