MAG,orf,FeGenie_HMM,Shaomei_Type
I-2_megahit_metabat_bin-040,Not found,Not found,Not found
I-2_megahit_metabat_bin-167,bin-167:574/697_1,Cyc2_repCluster3,Not found
I-2_megahit_metabat_bin-167,bin-167:100/697_10,Cyc2_repCluster3,Not found
I-2_megahit_metabat_bin-167,bin-167:150/697_4,Cyc2_repCluster1,Not found
I-2_megahit_metabat_bin-112,Not found,Not found,Not found
I-2_megahit_metabat_bin-106,Not found,Not found,Not found
I-2_megahit_metabat_bin-050,Not found,Not found,Not found
I-2_megahit_metabat_bin-046,Not found,Not found,Not found
I-2_megahit_metabat_bin-116,bin-116:203/321_20,Cyc1,Not found
I-2_megahit_metabat_bin-116,bin-116:203/321_21,Cyc2_repCluster2,Not found
I-2_megahit_metabat_bin-116,bin-116:017/321_56,Not found,Outer Surface MHC
I-2_megahit_metabat_bin-116,bin-116:207/321_32,Not found,Outer Surface MHC
I-2_megahit_metabat_bin-116,bin-116:249/321_29,Not found,Outer Surface MHC
I-2_megahit_metabat_bin-025,bin-025:225/470_1,Cyc2_repCluster2,Not found
I-2_megahit_metabat_bin-103,bin-103:022/803_19,CbcL,Not found
I-2_megahit_metabat_bin-103,bin-103:245/803_9,CbcB,Not found
I-2_megahit_metabat_bin-103,bin-103:087/803_34,CbcL,Not found
I-2_megahit_metabat_bin-103,bin-103:369/803_14,CbcL,Not found
I-2_megahit_metabat_bin-103,bin-103:597/803_2,Cyc2_repCluster2,Not found
I-2_megahit_metabat_bin-103,bin-103:171/803_3,DFE_0449,Periplasmic MHC in PCC
I-2_megahit_metabat_bin-103,bin-103:245/803_8,DFE_0461,Not found
I-2_megahit_metabat_bin-103,bin-103:767/803_3,MtrB_TIGR03509,Not found
I-2_megahit_metabat_bin-103,bin-103:767/803_4,MtoA,Periplasmic MHC in PCC
I-2_megahit_metabat_bin-103,bin-103:767/803_5,MtrC_TIGR03507,Outer Surface MHC
I-2_megahit_metabat_bin-103,bin-103:171/803_4,Not found,Outer Surface MHC
I-2_megahit_metabat_bin-061,Not found,Not found,Not found
I-2_megahit_metabat_bin-012,Not found,Not found,Not found
I-2_megahit_metabat_bin-135,bin-135:320/382_5,Cyc2_repCluster2,Not found
I-2_megahit_metabat_bin-135,bin-135:247/382_8,Not found,Outer Surface MHC
I-2_megahit_metabat_bin-136,bin-136:0838/1254_13,CbcL,Not found
I-2_megahit_metabat_bin-136,bin-136:0209/1254_13,MtoA,Not found
I-2_megahit_metabat_bin-136,bin-136:0110/1254_1,Not found,Outer Surface MHC
I-2_megahit_metabat_bin-136,bin-136:0969/1254_1,Not found,Outer Surface MHC
