MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
MJ111018A_megahit_metabat_bin-709,bin-709:312/820_2,DFE_0449,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-709,bin-709:312/820_3,DFE_0449,Periplasmic_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-918,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-085,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-278,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-787,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-188,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-610,bin-610:094/264_10,EetB,Not_found,Not_found
MJ111018A_megahit_metabat_bin-610,bin-610:094/264_11,EetA,Not_found,Not_found
MJ111018A_megahit_metabat_bin-610,bin-610:227/264_5,MtoA,Not_found,Not_found
MJ111018A_megahit_metabat_bin-167,bin-167:056/121_15,Cyc2_repCluster2,Not_found,Not_found
MJ111018A_megahit_metabat_bin-167,bin-167:052/121_11,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-167,bin-167:052/121_6,DFE_0465,Outer_Surface_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-167,bin-167:052/121_4,Not_found,PCC_porin,Not_found
MJ111018A_megahit_metabat_bin-167,bin-167:052/121_2,Not_found,Outer_Surface_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-167,bin-167:052/121_5,Not_found,Outer_Surface_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-167,bin-167:052/121_9,Not_found,Outer_Surface_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-167,bin-167:026/121_14,Not_found,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-947,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-531,bin-531:037/581_4,Cyc2_repCluster2,Not_found,Not_found
MJ111018A_megahit_metabat_bin-978,bin-978:326/360_2,Cyc2_repCluster2,Not_found,Not_found
MJ111018A_megahit_metabat_bin-978,bin-978:326/360_3,Cyc1,Not_found,Not_found
MJ111018A_megahit_metabat_bin-978,bin-978:302/360_4,Cyc2_repCluster2,Not_found,Not_found
MJ111018A_megahit_metabat_bin-978,bin-978:111/360_2,MtoA,Not_found,Not_found
MJ111018A_megahit_metabat_bin-978,bin-978:111/360_3,MtrB_TIGR03509,Not_found,Not_found
MJ111018A_megahit_metabat_bin-555,bin-555:090/697_3,CbcL,Not_found,Not_found
MJ111018A_megahit_metabat_bin-555,bin-555:120/697_1,DFE_0462,Not_found,Not_found
MJ111018A_megahit_metabat_bin-555,bin-555:128/697_1,MtoA,Periplasmic_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-555,bin-555:128/697_2,MtrC_TIGR03507,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-555,bin-555:148/697_1,MtrB_TIGR03509,Not_found,Not_found
MJ111018A_megahit_metabat_bin-555,bin-555:338/697_1,DFE_0461,Outer_Surface_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-555,bin-555:338/697_2,Not_found,PCC_porin,Not_found
MJ111018A_megahit_metabat_bin-405,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-458,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-593,bin-593:581/585_1,CbcL,Not_found,Not_found
MJ111018A_megahit_metabat_bin-593,bin-593:007/585_1,CbcL,Not_found,Not_found
MJ111018A_megahit_metabat_bin-593,bin-593:100/585_2,MtrB_TIGR03509,Not_found,Not_found
MJ111018A_megahit_metabat_bin-593,bin-593:125/585_2,DFE_0462,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-593,bin-593:204/585_2,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-593,bin-593:204/585_1,Not_found,PCC_porin,Not_found
MJ111018A_megahit_metabat_bin-859,bin-859:238/872_1,MtrB_TIGR03509,Not_found,Not_found
MJ111018A_megahit_metabat_bin-859,bin-859:238/872_2,MtoA,Not_found,Not_found
MJ111018A_megahit_metabat_bin-859,bin-859:404/872_2,MtrB_TIGR03509,Not_found,Not_found
MJ111018A_megahit_metabat_bin-859,bin-859:404/872_3,MtoA,Not_found,Not_found
MJ111018A_megahit_metabat_bin-859,bin-859:409/872_1,MtrB_TIGR03509,Not_found,Not_found
MJ111018A_megahit_metabat_bin-174,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:360/653_6,Cyc2_repCluster2,Not_found,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:621/653_1,CbcL,Not_found,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:376/653_3,MtrC_TIGR03507,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:510/653_3,MtoA,Not_found,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:637/653_1,MtrB_TIGR03509,Not_found,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:637/653_2,MtoA,Periplasmic_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:637/653_3,MtrC_TIGR03507,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:262/653_1,Not_found,Periplasmic_MHC_in_PCC,Not_found
MJ111018A_megahit_metabat_bin-284,bin-284:262/653_2,Not_found,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-568,bin-568:192/195_1,EetB,Not_found,Not_found
MJ111018A_megahit_metabat_bin-568,bin-568:192/195_2,EetA,Not_found,Not_found
MJ111018A_megahit_metabat_bin-779,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-798,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-971,bin-971:179/333_6,Cyc2_repCluster2,Not_found,Not_found
MJ111018A_megahit_metabat_bin-971,bin-971:067/333_8,Not_found,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-971,bin-971:233/333_10,Not_found,Outer_Surface_MHC,Not_found
MJ111018A_megahit_metabat_bin-970,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-589,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-906,bin-906:583/762_3,DFE_0449,Not_found,Not_found
MJ111018A_megahit_metabat_bin-714,bin-714:199/561_11,Cyc2_repCluster2,Not_found,Not_found
MJ111018A_megahit_metabat_bin-714,bin-714:342/561_11,Cyc2_repCluster2,Not_found,Not_found
MJ111018A_megahit_metabat_bin-714,bin-714:342/561_12,Cyc1,Not_found,Not_found
MJ111018A_megahit_metabat_bin-572,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-238,Not_found,Not_found,Not_found,Not_found
MJ111018A_megahit_metabat_bin-271,Not_found,Not_found,Not_found,Not_found
