MAG,orf,FeGenie_HMM,Shaomei_Type
AM-lipid-01-D8_megahit_metabat_bin-0599,bin-0599:149/972_5,EetA,Not found
AM-lipid-01-D8_megahit_metabat_bin-0599,bin-0599:149/972_6,EetB,Not found
AM-lipid-01-D8_megahit_metabat_bin-0431,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-1698,bin-1698:278/281_63,EetB,Not found
AM-lipid-01-D8_megahit_metabat_bin-1698,bin-1698:278/281_64,EetA,Not found
AM-lipid-01-D8_megahit_metabat_bin-1660,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0350,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0424,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0574,bin-0574:017/282_5,Cyc2_repCluster3,Not found
AM-lipid-01-D8_megahit_metabat_bin-0574,bin-0574:057/282_6,DFE_0461,Not found
AM-lipid-01-D8_megahit_metabat_bin-0444,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-1371,bin-1371:015/769_10,MtoA,Not found
AM-lipid-01-D8_megahit_metabat_bin-1371,bin-1371:015/769_11,MtrB_TIGR03509,Not found
AM-lipid-01-D8_megahit_metabat_bin-1371,bin-1371:138/769_5,Cyc2_repCluster2,Not found
AM-lipid-01-D8_megahit_metabat_bin-0298,bin-0298:321/482_4,Cyc2_repCluster3,Not found
AM-lipid-01-D8_megahit_metabat_bin-0298,bin-0298:255/482_1,Cyc2_repCluster1,Not found
AM-lipid-01-D8_megahit_metabat_bin-0330,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0168,bin-0168:090/752_2,DFE_0462,Not found
AM-lipid-01-D8_megahit_metabat_bin-0190,bin-0190:203/550_9,CbcL,Not found
AM-lipid-01-D8_megahit_metabat_bin-0190,bin-0190:091/550_4,DFE_0461,Periplasmic MHC in PCC
AM-lipid-01-D8_megahit_metabat_bin-0190,bin-0190:286/550_4,DFE_0449,Not found
AM-lipid-01-D8_megahit_metabat_bin-0190,bin-0190:091/550_2,Not found,Outer Surface MHC
AM-lipid-01-D8_megahit_metabat_bin-0190,bin-0190:452/550_4,Not found,Outer Surface MHC
AM-lipid-01-D8_megahit_metabat_bin-1285,bin-1285:267/458_2,CbcL,Not found
AM-lipid-01-D8_megahit_metabat_bin-0962,bin-0962:068/492_1,MtoA,Not found
AM-lipid-01-D8_megahit_metabat_bin-1198,bin-1198:340/341_8,EetB,Not found
AM-lipid-01-D8_megahit_metabat_bin-1198,bin-1198:340/341_9,EetA,Not found
AM-lipid-01-D8_megahit_metabat_bin-0394,bin-0394:29/79_8,DFE_0464,Not found
AM-lipid-01-D8_megahit_metabat_bin-1662,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0912,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-1594,bin-1594:056/176_16,EetA,Not found
AM-lipid-01-D8_megahit_metabat_bin-1594,bin-1594:056/176_17,EetB,Not found
AM-lipid-01-D8_megahit_metabat_bin-0570,bin-0570:188/407_3,Cyc2_repCluster3,Not found
AM-lipid-01-D8_megahit_metabat_bin-0570,bin-0570:013/407_1,Cyc2_repCluster3,Not found
AM-lipid-01-D8_megahit_metabat_bin-0570,bin-0570:157/407_2,DFE_0461,Not found
AM-lipid-01-D8_megahit_metabat_bin-1173,bin-1173:212/230_3,MtoA,Not found
AM-lipid-01-D8_megahit_metabat_bin-1173,bin-1173:212/230_4,MtrB_TIGR03509,Not found
AM-lipid-01-D8_megahit_metabat_bin-1173,bin-1173:212/230_5,CymA,Not found
AM-lipid-01-D8_megahit_metabat_bin-1173,bin-1173:176/230_10,Cyc2_repCluster2,Not found
AM-lipid-01-D8_megahit_metabat_bin-1173,bin-1173:176/230_11,Cyc2_repCluster2,Not found
AM-lipid-01-D8_megahit_metabat_bin-1173,bin-1173:045/230_12,Cyc2_repCluster2,Not found
AM-lipid-01-D8_megahit_metabat_bin-1173,bin-1173:192/230_4,Cyc1,Not found
AM-lipid-01-D8_megahit_metabat_bin-1173,bin-1173:192/230_5,Cyc2_repCluster2,Not found
AM-lipid-01-D8_megahit_metabat_bin-0857,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0716,bin-0716:28/77_41,ImcH,Outer Surface MHC
AM-lipid-01-D8_megahit_metabat_bin-0716,bin-0716:16/77_12,,Not found
AM-lipid-01-D8_megahit_metabat_bin-0716,bin-0716:16/77_35,DFE_0448,Not found
AM-lipid-01-D8_megahit_metabat_bin-0716,bin-0716:16/77_16,Not found,Outer Surface MHC
AM-lipid-01-D8_megahit_metabat_bin-1037,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0393,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0681,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0835,bin-0835:40/85_21,Cyc2_repCluster1,Not found
AM-lipid-01-D8_megahit_metabat_bin-0835,bin-0835:24/85_56,Cyc2_repCluster3,Not found
AM-lipid-01-D8_megahit_metabat_bin-0835,bin-0835:06/85_14,Cyc2_repCluster3,Not found
AM-lipid-01-D8_megahit_metabat_bin-0886,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0153,bin-0153:0702/1252_1,CbcL,Not found
AM-lipid-01-D8_megahit_metabat_bin-0153,bin-0153:1099/1252_1,Not found,Outer Surface MHC
AM-lipid-01-D8_megahit_metabat_bin-1085,Not found,Not found,Not found
AM-lipid-01-D8_megahit_metabat_bin-0510,Not found,Not found,Not found
