MAG,orf,FeGenie_HMM,Shaomei_Type
UppL7s_megahit_metabat_bin-0332,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-0881,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-1220,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-1095,bin-1095:429/633_11,MtrB_TIGR03509,Not found
UppL7s_megahit_metabat_bin-1095,bin-1095:429/633_12,MtoA,Not found
UppL7s_megahit_metabat_bin-1095,bin-1095:396/633_4,ImcH,Not found
UppL7s_megahit_metabat_bin-1095,bin-1095:396/633_11,DFE_0461,Not found
UppL7s_megahit_metabat_bin-0427,bin-0427:148/592_3,Not found,Outer Surface MHC
UppL7s_megahit_metabat_bin-0775,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-0967,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-0701,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-1432,bin-1432:152/413_3,Not found,Outer Surface MHC
UppL7s_megahit_metabat_bin-1432,bin-1432:163/413_7,Not found,Outer Surface MHC
UppL7s_megahit_metabat_bin-1432,bin-1432:305/413_2,Not found,Outer Surface MHC
UppL7s_megahit_metabat_bin-1013,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-0873,bin-0873:390/533_2,MtrB_TIGR03509,Not found
UppL7s_megahit_metabat_bin-0873,bin-0873:390/533_3,MtrA,Not found
UppL7s_megahit_metabat_bin-0873,bin-0873:405/533_9,Cyc2_repCluster1,Not found
UppL7s_megahit_metabat_bin-1758,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-0858,bin-0858:125/683_4,Not found,Outer Surface MHC
UppL7s_megahit_metabat_bin-1430,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-0991,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-0376,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-1259,Not found,Not found,Not found
UppL7s_megahit_metabat_bin-1421,Not found,Not found,Not found
