MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
KT3_megahit_metabat_bin-763,0,0,0,0,0
KT3_megahit_metabat_bin-195,0,0,0,0,0
KT3_megahit_metabat_bin-063,0,0,0,0,0
KT3_megahit_metabat_bin-576,0,0,0,0,0
KT3_megahit_metabat_bin-299,0,0,0,0,0
KT3_megahit_metabat_bin-833,0,0,0,0,0
KT3_megahit_metabat_bin-378,3,0,2,0,1
KT3_megahit_metabat_bin-168,1,0,1,0,0
KT3_megahit_metabat_bin-739,0,0,0,0,0
KT3_megahit_metabat_bin-215,0,0,0,0,0
KT3_megahit_metabat_bin-010,0,0,0,0,0
KT3_megahit_metabat_bin-803,0,0,0,0,0
KT3_megahit_metabat_bin-110,0,0,0,0,0
KT3_megahit_metabat_bin-525,1,0,1,0,0
KT3_megahit_metabat_bin-720,0,0,0,0,0
KT3_megahit_metabat_bin-530,0,0,0,0,0
KT3_megahit_metabat_bin-498,0,0,0,0,0
KT3_megahit_metabat_bin-874,0,0,0,0,0
KT3_megahit_metabat_bin-247,0,0,0,0,0
KT3_megahit_metabat_bin-848,0,0,0,0,0
KT3_megahit_metabat_bin-246,0,0,0,0,0
KT3_megahit_metabat_bin-225,0,0,0,0,0
KT3_megahit_metabat_bin-629,0,0,0,0,0
KT3_megahit_metabat_bin-372,0,0,0,0,0
KT3_megahit_metabat_bin-413,0,0,0,0,0
KT3_megahit_metabat_bin-488,0,0,0,0,0
KT3_megahit_metabat_bin-287,0,0,0,0,0
KT3_megahit_metabat_bin-364,0,0,0,0,0
KT3_megahit_metabat_bin-234,0,0,0,0,0
KT3_megahit_metabat_bin-540,0,0,0,0,0
KT3_megahit_metabat_bin-404,2,0,2,0,0
KT3_megahit_metabat_bin-095,0,0,0,0,0
KT3_megahit_metabat_bin-541,0,0,0,0,0
KT3_megahit_metabat_bin-866,0,0,0,0,0
