MAG,orf,FeGenie_HMM,Shaomei_Type
Ki3-D3_megahit_metabat_bin-0080,bin-0080:320/402_3,DFE_0449,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0080,bin-0080:035/402_28,Not_found,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0306,bin-0306:203/223_13,MtrB_TIGR03509,Not_found
Ki3-D3_megahit_metabat_bin-0306,bin-0306:203/223_14,MtoA,Not_found
Ki3-D3_megahit_metabat_bin-0306,bin-0306:104/223_1,DFE_0462,Not_found
Ki3-D3_megahit_metabat_bin-0509,bin-0509:801/889_3,CbcB,Not_found
Ki3-D3_megahit_metabat_bin-0509,bin-0509:049/889_1,CbcL,Not_found
Ki3-D3_megahit_metabat_bin-0509,bin-0509:133/889_1,MtoA,Periplasmic_MHC_in_PCC
Ki3-D3_megahit_metabat_bin-0509,bin-0509:241/889_4,DFE_0462,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0509,bin-0509:382/889_2,DFE_0461,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0509,bin-0509:547/889_3,MtoA,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0509,bin-0509:711/889_4,MtrC_TIGR03507,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0509,bin-0509:801/889_4,DFE_0462,Not_found
Ki3-D3_megahit_metabat_bin-0509,bin-0509:876/889_6,DFE_0461,Outer_Surface_MHC_in_PCC
Ki3-D3_megahit_metabat_bin-0509,bin-0509:885/889_1,MtrC_TIGR03507,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0509,bin-0509:885/889_3,MtrC_TIGR03507,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0509,bin-0509:876/889_5,Not_found,PCC_porin
Ki3-D3_megahit_metabat_bin-0509,bin-0509:133/889_2,Not_found,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0053,bin-0053:425/615_6,CbcL,Not_found
Ki3-D3_megahit_metabat_bin-0053,bin-0053:195/615_2,CbcL,Not_found
Ki3-D3_megahit_metabat_bin-0053,bin-0053:204/615_12,Not_found,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-1157,Not_found,Not_found,Not_found
Ki3-D3_megahit_metabat_bin-0662,bin-0662:194/289_7,MtoA,Not_found
Ki3-D3_megahit_metabat_bin-0662,bin-0662:194/289_8,MtrB_TIGR03509,Not_found
Ki3-D3_megahit_metabat_bin-0662,bin-0662:008/289_4,Cyc2_repCluster2,Not_found
Ki3-D3_megahit_metabat_bin-0662,bin-0662:070/289_3,DFE_0465,Not_found
Ki3-D3_megahit_metabat_bin-0662,bin-0662:112/289_2,DFE_0462,Not_found
Ki3-D3_megahit_metabat_bin-0662,bin-0662:078/289_2,Not_found,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0662,bin-0662:092/289_2,Not_found,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0662,bin-0662:218/289_1,Not_found,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0537,Not_found,Not_found,Not_found
Ki3-D3_megahit_metabat_bin-0810,bin-0810:225/726_9,Not_found,Outer_Surface_MHC
Ki3-D3_megahit_metabat_bin-0291,Not_found,Not_found,Not_found
Ki3-D3_megahit_metabat_bin-1203,Not_found,Not_found,Not_found
Ki3-D3_megahit_metabat_bin-0556,Not_found,Not_found,Not_found
Ki3-D3_megahit_metabat_bin-0372,bin-0372:139/432_1,MtoA,Not_found
Ki3-D3_megahit_metabat_bin-0372,bin-0372:139/432_2,MtrB_TIGR03509,Not_found
Ki3-D3_megahit_metabat_bin-1186,Not_found,Not_found,Not_found
Ki3-D3_megahit_metabat_bin-0208,Not_found,Not_found,Not_found
Ki3-D3_megahit_metabat_bin-0661,bin-0661:266/731_3,ImcH,Not_found
Ki3-D3_megahit_metabat_bin-0661,bin-0661:182/731_3,Cyc2_repCluster2,Not_found
Ki3-D3_megahit_metabat_bin-0661,bin-0661:494/731_2,DFE_0449,Outer_Surface_MHC
