MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
Erken-D1_megahit_metabat_bin-0262,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1050,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0187,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1779,bin-1779:0579/1007_3,ImcH,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1779,bin-1779:0368/1007_1,CbcL,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1779,bin-1779:0572/1007_1,DFE_0461,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1779,bin-1779:1002/1007_2,DFE_0449,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0643,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1968,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1542,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1984,bin-1984:0533/1061_1,Not_found,Outer_Surface_MHC,nrfA
Erken-D1_megahit_metabat_bin-0494,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0005,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0900,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1992,bin-1992:148/879_1,DFE_0462,Outer_Surface_MHC,Not_found
Erken-D1_megahit_metabat_bin-1992,bin-1992:148/879_3,DFE_0449,Periplasmic_MHC_in_PCC,Not_found
Erken-D1_megahit_metabat_bin-1458,bin-1458:705/751_3,DFE_0461,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1411,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1797,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0766,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1873,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1875,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0630,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1218,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0843,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1817,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1670,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0855,bin-0855:231/393_4,DFE_0449,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0644,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1112,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0619,bin-0619:0530/1168_3,DFE_0462,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0619,bin-0619:0522/1168_1,Not_found,Outer_Surface_MHC,Not_found
Erken-D1_megahit_metabat_bin-0619,bin-0619:0854/1168_3,Not_found,Outer_Surface_MHC,Not_found
Erken-D1_megahit_metabat_bin-0886,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1877,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1945,bin-1945:942/950_3,sulfocyanin,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0264,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0404,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1012,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0719,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1562,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-2002,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0675,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1764,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0209,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1072,bin-1072:070/197_2,EetB,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1072,bin-1072:070/197_3,EetA,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0943,bin-0943:610/819_1,Not_found,Outer_Surface_MHC,Not_found
Erken-D1_megahit_metabat_bin-1067,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0604,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1567,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1966,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0546,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0613,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1857,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1062,bin-1062:073/528_2,DFE_0461,Not_found,Not_found
Erken-D1_megahit_metabat_bin-0055,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1912,Not_found,Not_found,Not_found,Not_found
Erken-D1_megahit_metabat_bin-1703,bin-1703:235/247_2,Not_found,Outer_Surface_MHC,Not_found
