MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
anvio_hgcA_0080,1,0,1,0,0
anvio_hgcA_0220,0,0,0,0,0
anvio_hgcA_0101,0,0,0,0,0
anvio_hgcA_0240,1,0,1,0,0
anvio_hgcA_0050,0,0,0,0,0
anvio_hgcA_0020,0,0,0,0,0
anvio_hgcA_0041,0,0,0,0,0
anvio_hgcA_0110,0,0,0,0,0
anvio_hgcA_0040,0,0,0,0,0
anvio_hgcA_0250,0,0,0,0,0
anvio_hgcA_0141,0,0,0,0,0
anvio_hgcA_0010,0,0,0,0,0
anvio_hgcA_0070,0,0,0,0,0
anvio_hgcA_0260,0,0,0,0,0
anvio_hgcA_0261,0,0,0,0,0
anvio_hgcA_0210,6,1,2,2,1
anvio_hgcA_0180,0,0,0,0,0
anvio_hgcA_0270,0,0,0,0,0
anvio_hgcA_0130,3,0,2,0,1
