SeqNO.	Comp.Result	Di-pep.Result	part-Comp.Result	chemo-type.Result	Neighbor	#Combined:	extra	outer	peri	inner	cyto	#Most-likely-Location	#SeqName
#1	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	1.287459	0.11078735	3.13389	0.11581302	0.3520505	Periplasmic	EnrD2m_bin_45___c_000000000131_72
#2	Extracellular	Extracellular	Extracellular	Extracellular	Extracellular	:	4.028105	0.8250905	0.13683398	0.00587047	0.004101003	Extracellular	EnrD2m_bin_45___c_000000000554_15
#3	Cytoplasmic	Periplasmic	Cytoplasmic	Periplasmic	Extracellular	:	0.8132124	0.781733	1.4162829	0.2552731	1.7334974	Cytoplasmic	EnrD2m_bin_45___c_000000000554_19
#4	Cytoplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.30624101	0.51383516	2.588788	0.4261559	1.16497942	Periplasmic	EnrD2m_bin_45___c_000000000554_22
#5	Extracellular	Periplasmic	Extracellular	Extracellular	Periplasmic	:	1.8218031	0.6383025	2.003761	0.16735375	0.3687781	Periplasmic	EnrD2m_bin_45___c_000000001372_29
#6	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.3326698	0.312914562	4.033665	0.12169514	0.19905605	Periplasmic	2582580625___TE2493DRAFT_TBepi_metabat_2493_1000482.27_10
#7	Periplasmic	OuterMembrane	Periplasmic	OuterMembrane	Periplasmic	:	0.2291222	1.0038101	2.86438	0.24300308	0.6596834	Periplasmic	2582580625___TE2493DRAFT_TBepi_metabat_2493_1000072.66_49
#8	Periplasmic	Periplasmic	Periplasmic	InnerMembrane	Periplasmic	:	0.26973596	0.065270376	3.3341604	0.92572946	0.4051031	Periplasmic	2582580647___TE8052DRAFT_TBepi_metabat_8052_1007106.149_2
#9	Extracellular	Extracellular	Cytoplasmic	Extracellular	Periplasmic	:	2.042822	0.46482306	1.5902226	0.09135605	0.8107759	Extracellular	2582580647___TE8052DRAFT_TBepi_metabat_8052_1001177.261_1
#10	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	0.6627151	0.69362112	3.18033	0.136884908	0.3264486	Periplasmic	2582580647___TE8052DRAFT_TBepi_metabat_8052_1006339.264_2
#11	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.5346711	0.1417762958	4.127498	0.078848302	0.11720678	Periplasmic	EnrD2m_bin_48___c_000000000637_22
#12	Periplasmic	Periplasmic	Cytoplasmic	InnerMembrane	Periplasmic	:	0.1403088	0.19707158	2.8010371	0.92545734	0.9361233	Periplasmic	EnrD2m_bin_48___c_000000001158_15
#13	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	1.4286826	0.094271465	3.2493722	0.065995227	0.161678	Periplasmic	EnrD2m_bin_48___c_000000001158_17
#14	Extracellular	Extracellular	Extracellular	InnerMembrane	Extracellular	:	3.439677	0.68940745	0.2001675	0.552058581	0.1186900838	Extracellular	EnrD2m_bin_48___c_000000001158_19
#15	Periplasmic	Cytoplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.08591538	0.200646839	3.791221	0.16314629	0.7590705	Periplasmic	EnrD2m_bin_48___c_000000001227_19
#16	Periplasmic	Extracellular	Extracellular	InnerMembrane	Extracellular	:	2.56574	0.7484078	0.4956666	0.78499652	0.40518732	Extracellular	EnrD2m_bin_48___c_000000002954_10
#17	Periplasmic	Extracellular	Extracellular	Extracellular	Extracellular	:	3.440387	0.3344061	0.5847769	0.2528503	0.38758	Extracellular	EnrD2m_bin_48___c_000000006734_1
#18	Periplasmic	Extracellular	Periplasmic	Periplasmic	Periplasmic	:	0.6909453	0.64655039	2.370739	0.42756799	0.864199	Periplasmic	EnrD2m_bin_48___c_000000006734_2
#19	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.6701506	0.061342342	4.162497	0.016925967	0.08908362	Periplasmic	2593339187___TE00439DRAFT_TE00439_TBL_comb48_EPIDRAFT_1003027.26_2
#20	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	0.1039038	0.077653556	4.455095	0.11385068	0.24949708	Periplasmic	2593339187___TE00439DRAFT_TE00439_TBL_comb48_EPIDRAFT_1013118.90_4
#21	Periplasmic	Periplasmic	Extracellular	Periplasmic	Periplasmic	:	1.381624	0.11404257	2.826663	0.1274801	0.5501905	Periplasmic	EnrD2m_bin_54___c_000000000345_33
#22	Extracellular	Extracellular	Extracellular	Extracellular	Extracellular	:	4.155195	0.5337242	0.2668393	0.02828833	0.01595251	Extracellular	EnrD2m_bin_54___c_000000001624_7
#23	Cytoplasmic	Periplasmic	Cytoplasmic	Periplasmic	Cytoplasmic	:	0.6294542	0.961561	1.3876029	0.2209199	1.8004622	Cytoplasmic	EnrD2m_bin_54___c_000000001624_11
#24	Cytoplasmic	InnerMembrane	Periplasmic	OuterMembrane	Periplasmic	:	0.21351982	0.56782709	2.151175	0.8677858	1.1996917	Periplasmic	EnrD2m_bin_54___c_000000001624_14
#25	Periplasmic	Periplasmic	Periplasmic	OuterMembrane	Periplasmic	:	1.048004	0.7443844	2.14232	0.23252522	0.8327655	Periplasmic	EnrD2m_bin_54___c_000000004812_9
#26	Periplasmic	Periplasmic	Periplasmic	Periplasmic	Periplasmic	:	1.578019	0.1966067	2.622222	0.07224355	0.5309106	Periplasmic	EnrD2m_bin_54___c_000000020250_4
#27	Periplasmic	Periplasmic	Periplasmic	Extracellular	Periplasmic	:	0.6365467	0.13207821	3.74469	0.25728254	0.22940305	Periplasmic	EnrD2m_bin_63___c_000000002241_17
