MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
AM-2014-D4_megahit_metabat_bin-419,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-622,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-427,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-064,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-381,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-426,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-012,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-347,1,0,1,0,0
AM-2014-D4_megahit_metabat_bin-089,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-319,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-154,1,0,1,0,0
AM-2014-D4_megahit_metabat_bin-005,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-350,2,0,2,0,0
AM-2014-D4_megahit_metabat_bin-561,1,0,1,0,0
AM-2014-D4_megahit_metabat_bin-632,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-409,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-075,3,0,2,0,1
AM-2014-D4_megahit_metabat_bin-627,2,0,2,0,0
AM-2014-D4_megahit_metabat_bin-644,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-505,3,0,2,0,1
AM-2014-D4_megahit_metabat_bin-212,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-077,2,0,2,0,0
AM-2014-D4_megahit_metabat_bin-538,5,1,0,4,0
AM-2014-D4_megahit_metabat_bin-273,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-000,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-114,5,0,4,0,1
AM-2014-D4_megahit_metabat_bin-241,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-470,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-019,1,0,1,0,0
AM-2014-D4_megahit_metabat_bin-591,7,1,3,3,0
AM-2014-D4_megahit_metabat_bin-033,2,0,2,0,0
AM-2014-D4_megahit_metabat_bin-629,3,0,3,0,0
AM-2014-D4_megahit_metabat_bin-649,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-404,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-198,8,1,5,1,1
AM-2014-D4_megahit_metabat_bin-586,1,0,1,0,0
AM-2014-D4_megahit_metabat_bin-403,1,0,1,0,0
AM-2014-D4_megahit_metabat_bin-525,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-166,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-664,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-218,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-376,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-429,6,1,2,2,1
AM-2014-D4_megahit_metabat_bin-398,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-021,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-189,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-107,0,0,0,0,0
AM-2014-D4_megahit_metabat_bin-302,4,0,2,0,2
AM-2014-D4_megahit_metabat_bin-034,2,0,2,0,0
AM-2014-D4_megahit_metabat_bin-091,0,0,0,0,0
