MAG,orf,FeGenie_HMM,Shaomei_Type
Umea3p2_megahit_metabat_bin-0586,bin-0586:0286/1221_1,DFE_0449,Not_found
Umea3p2_megahit_metabat_bin-0586,bin-0586:0429/1221_4,MtoA,Not_found
Umea3p2_megahit_metabat_bin-0081,bin-0081:034/238_9,Not_found,Periplasmic_MHC_in_PCC
Umea3p2_megahit_metabat_bin-0081,bin-0081:034/238_4,Not_found,Outer_Surface_MHC
Umea3p2_megahit_metabat_bin-0081,bin-0081:180/238_45,Not_found,Outer_Surface_MHC
Umea3p2_megahit_metabat_bin-0081,bin-0081:219/238_10,Not_found,Outer_Surface_MHC
Umea3p2_megahit_metabat_bin-1088,Not_found,Not_found,Not_found
Umea3p2_megahit_metabat_bin-0473,bin-0473:085/144_30,Not_found,Outer_Surface_MHC
Umea3p2_megahit_metabat_bin-1120,bin-1120:005/123_180,DFE_0449,Not_found
Umea3p2_megahit_metabat_bin-1120,bin-1120:031/123_47,MtrA,Periplasmic_MHC_in_PCC
Umea3p2_megahit_metabat_bin-1120,bin-1120:031/123_48,MtrC_TIGR03507,Outer_Surface_MHC
Umea3p2_megahit_metabat_bin-1120,bin-1120:031/123_54,MtrA,Periplasmic_MHC_in_PCC
Umea3p2_megahit_metabat_bin-1120,bin-1120:068/123_57,MtoA,Not_found
Umea3p2_megahit_metabat_bin-0410,bin-0410:215/224_181,Not_found,Outer_Surface_MHC
Umea3p2_megahit_metabat_bin-0364,Not_found,Not_found,Not_found
Umea3p2_megahit_metabat_bin-1071,Not_found,Not_found,Not_found
Umea3p2_megahit_metabat_bin-1274,Not_found,Not_found,Not_found
Umea3p2_megahit_metabat_bin-0614,Not_found,Not_found,Not_found
Umea3p2_megahit_metabat_bin-0936,Not_found,Not_found,Not_found
Umea3p2_megahit_metabat_bin-1229,Not_found,Not_found,Not_found
Umea3p2_megahit_metabat_bin-0220,Not_found,Not_found,Not_found
