MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
I2_megahit_metabat_bin-134,9,1,4,1,3
I2_megahit_metabat_bin-169,2,0,2,0,0
I2_megahit_metabat_bin-071,0,0,0,0,0
I2_megahit_metabat_bin-038,0,0,0,0,0
I2_megahit_metabat_bin-123,0,0,0,0,0
I2_megahit_metabat_bin-215,1,0,1,0,0
I2_megahit_metabat_bin-066,2,0,1,0,1
I2_megahit_metabat_bin-059,0,0,0,0,0
I2_megahit_metabat_bin-201,0,0,0,0,0
I2_megahit_metabat_bin-264,3,0,3,0,0
I2_megahit_metabat_bin-194,0,0,0,0,0
I2_megahit_metabat_bin-146,0,0,0,0,0
I2_megahit_metabat_bin-028,0,0,0,0,0
I2_megahit_metabat_bin-149,1,0,1,0,0
I2_megahit_metabat_bin-116,0,0,0,0,0
I2_megahit_metabat_bin-105,0,0,0,0,0
I2_megahit_metabat_bin-158,0,0,0,0,0
I2_megahit_metabat_bin-054,0,0,0,0,0
I2_megahit_metabat_bin-279,0,0,0,0,0
I2_megahit_metabat_bin-224,0,0,0,0,0
I2_megahit_metabat_bin-171,0,0,0,0,0
I2_megahit_metabat_bin-280,0,0,0,0,0
I2_megahit_metabat_bin-230,0,0,0,0,0
I2_megahit_metabat_bin-106,0,0,0,0,0
