MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
MJ-2014-D6_megahit_metabat_bin-120,bin-120:016/523_19,ImcH,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-120,bin-120:221/523_10,ExtA_pcc_cyt,Outer_Surface_MHC,Not_found
MJ-2014-D6_megahit_metabat_bin-120,bin-120:081/523_1,Cyc2_repCluster2,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-120,bin-120:098/523_3,DFE_0449,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-120,bin-120:221/523_11,DFE_0462,Periplasmic_MHC_in_PCC,Not_found
MJ-2014-D6_megahit_metabat_bin-120,bin-120:402/523_2,Not_found,Outer_Surface_MHC,octR
MJ-2014-D6_megahit_metabat_bin-394,bin-394:056/237_2,Cyc2_repCluster2,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-394,bin-394:089/237_6,EetB,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-394,bin-394:089/237_7,EetA,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-191,bin-191:341/840_2,DFE_0448,Not_found,nrfH
MJ-2014-D6_megahit_metabat_bin-191,bin-191:790/840_1,Not_found,Outer_Surface_MHC,Not_found
MJ-2014-D6_megahit_metabat_bin-059,bin-059:527/620_3,OmcF,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-059,bin-059:325/620_3,Not_found,Outer_Surface_MHC,Not_found
MJ-2014-D6_megahit_metabat_bin-397,Not_found,Not_found,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-140,bin-140:47/62_21,ImcH,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-140,bin-140:09/62_136,ExtB_porin,PCC_porin,Not_found
MJ-2014-D6_megahit_metabat_bin-140,bin-140:09/62_137,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found
MJ-2014-D6_megahit_metabat_bin-140,bin-140:20/62_19,CbcL,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-140,bin-140:20/62_20,CbcL,Not_found,Not_found
MJ-2014-D6_megahit_metabat_bin-140,bin-140:09/62_138,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC,Not_found
MJ-2014-D6_megahit_metabat_bin-140,bin-140:09/62_135,Not_found,Outer_Surface_MHC_in_PCC,mtrC
MJ-2014-D6_megahit_metabat_bin-140,bin-140:10/62_14,Not_found,Outer_Surface_MHC,Not_found
MJ-2014-D6_megahit_metabat_bin-140,bin-140:22/62_77,Not_found,Outer_Surface_MHC,Not_found
