MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
A-4_megahit_metabat_bin-202,3,0,3,0,0
A-4_megahit_metabat_bin-089,8,1,5,2,0
A-4_megahit_metabat_bin-215,0,0,0,0,0
A-4_megahit_metabat_bin-109,0,0,0,0,0
A-4_megahit_metabat_bin-004,0,0,0,0,0
A-4_megahit_metabat_bin-124,0,0,0,0,0
A-4_megahit_metabat_bin-195,0,0,0,0,0
A-4_megahit_metabat_bin-118,0,0,0,0,0
A-4_megahit_metabat_bin-014,0,0,0,0,0
A-4_megahit_metabat_bin-049,0,0,0,0,0
A-4_megahit_metabat_bin-267,0,0,0,0,0
A-4_megahit_metabat_bin-050,5,1,1,3,0
A-4_megahit_metabat_bin-083,0,0,0,0,0
A-4_megahit_metabat_bin-148,0,0,0,0,0
A-4_megahit_metabat_bin-240,0,0,0,0,0
A-4_megahit_metabat_bin-176,0,0,0,0,0
A-4_megahit_metabat_bin-254,7,1,3,3,0
A-4_megahit_metabat_bin-237,13,3,1,7,2
A-4_megahit_metabat_bin-222,4,1,1,2,0
A-4_megahit_metabat_bin-081,0,0,0,0,0
A-4_megahit_metabat_bin-234,0,0,0,0,0
A-4_megahit_metabat_bin-175,0,0,0,0,0
A-4_megahit_metabat_bin-158,0,0,0,0,0
A-4_megahit_metabat_bin-112,3,0,1,0,2
A-4_megahit_metabat_bin-021,0,0,0,0,0
A-4_megahit_metabat_bin-113,0,0,0,0,0
A-4_megahit_metabat_bin-085,19,0,17,0,2
