MAG,orf,FeGenie_HMM,Shaomei_Type
D4_megahit_metabat_bin-075,Not found,Not found,Not found
D4_megahit_metabat_bin-074,Not found,Not found,Not found
D4_megahit_metabat_bin-147,Not found,Not found,Not found
D4_megahit_metabat_bin-212,Not found,Not found,Not found
D4_megahit_metabat_bin-179,Not found,Not found,Not found
D4_megahit_metabat_bin-194,Not found,Not found,Not found
D4_megahit_metabat_bin-002,Not found,Not found,Not found
D4_megahit_metabat_bin-061,bin-061:303/357_8,ExtB_porin,PCC porin
D4_megahit_metabat_bin-061,bin-061:303/357_9,ExtC_pcc_lp_cyt,Outer Surface MHC in PCC
D4_megahit_metabat_bin-061,bin-061:057/357_29,ImcH,Not found
D4_megahit_metabat_bin-061,bin-061:354/357_8,CbcL,Not found
D4_megahit_metabat_bin-061,bin-061:354/357_9,CbcL,Not found
D4_megahit_metabat_bin-061,bin-061:068/357_1,CbcL,Not found
D4_megahit_metabat_bin-061,bin-061:116/357_8,CbcL,Not found
D4_megahit_metabat_bin-061,bin-061:303/357_10,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],Outer Surface MHC in PCC
D4_megahit_metabat_bin-061,bin-061:303/357_7,Not found,Outer Surface MHC in PCC
D4_megahit_metabat_bin-061,bin-061:064/357_8,Not found,Outer Surface MHC
D4_megahit_metabat_bin-061,bin-061:133/357_3,Not found,Outer Surface MHC
D4_megahit_metabat_bin-061,bin-061:285/357_17,Not found,Outer Surface MHC
D4_megahit_metabat_bin-152,bin-152:079/470_5,Cyc2_repCluster3,Not found
D4_megahit_metabat_bin-152,bin-152:449/470_6,Cyc2_repCluster3,Not found
D4_megahit_metabat_bin-152,bin-152:083/470_16,Cyc2_repCluster3,Not found
D4_megahit_metabat_bin-152,bin-152:277/470_10,Cyc2_repCluster3,Not found
D4_megahit_metabat_bin-152,bin-152:277/470_4,DFE_0461,Not found
D4_megahit_metabat_bin-211,Not found,Not found,Not found
D4_megahit_metabat_bin-077,Not found,Not found,Not found
D4_megahit_metabat_bin-063,Not found,Not found,Not found
D4_megahit_metabat_bin-000,Not found,Not found,Not found
D4_megahit_metabat_bin-205,bin-205:640/883_3,ImcH,Not found
D4_megahit_metabat_bin-205,bin-205:014/883_5,DFE_0449,Not found
D4_megahit_metabat_bin-015,Not found,Not found,Not found
D4_megahit_metabat_bin-013,Not found,Not found,Not found
D4_megahit_metabat_bin-156,Not found,Not found,Not found
D4_megahit_metabat_bin-203,Not found,Not found,Not found
D4_megahit_metabat_bin-006,Not found,Not found,Not found
D4_megahit_metabat_bin-168,Not found,Not found,Not found
D4_megahit_metabat_bin-012,Not found,Not found,Not found
D4_megahit_metabat_bin-089,Not found,Not found,Not found
D4_megahit_metabat_bin-157,Not found,Not found,Not found
D4_megahit_metabat_bin-064,Not found,Not found,Not found
D4_megahit_metabat_bin-007,Not found,Not found,Not found
D4_megahit_metabat_bin-154,bin-154:189/309_31,Cyc2_repCluster2,Not found
D4_megahit_metabat_bin-154,bin-154:034/309_3,MtoA,Not found
D4_megahit_metabat_bin-154,bin-154:034/309_4,MtrB_TIGR03509,Not found
D4_megahit_metabat_bin-154,bin-154:089/309_11,Not found,Outer Surface MHC
D4_megahit_metabat_bin-187,Not found,Not found,Not found
D4_megahit_metabat_bin-011,Not found,Not found,Not found
D4_megahit_metabat_bin-108,Not found,Not found,Not found
D4_megahit_metabat_bin-005,Not found,Not found,Not found
