MAG,orf,FeGenie_HMM,Shaomei_Type
AM-lipid-02-D2_megahit_metabat_bin-1130,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0673,bin-0673:106/217_2,MtrB_TIGR03509,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0673,bin-0673:106/217_3,MtoA,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0281,bin-0281:314/525_3,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0281,bin-0281:084/525_3,DFE_0461,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0281,bin-0281:433/525_2,DFE_0461,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0035,bin-0035:087/423_3,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0035,bin-0035:233/423_12,Not_found,Outer_Surface_MHC
AM-lipid-02-D2_megahit_metabat_bin-0106,bin-0106:168/995_3,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1289,bin-1289:254/389_69,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1289,bin-1289:254/389_70,Cyc1,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1289,bin-1289:147/389_4,DFE_0461,Outer_Surface_MHC_in_PCC
AM-lipid-02-D2_megahit_metabat_bin-1289,bin-1289:183/389_19,DFE_0448,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1289,bin-1289:147/389_3,Not_found,PCC_porin
AM-lipid-02-D2_megahit_metabat_bin-0278,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1271,bin-1271:170/544_2,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1271,bin-1271:226/544_15,DFE_0449,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1271,bin-1271:401/544_9,FoxZ,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1321,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0721,bin-0721:223/226_8,FoxZ,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1144,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0036,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0978,bin-0978:025/131_94,Cyc1,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0978,bin-0978:025/131_95,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0978,bin-0978:057/131_12,CymA,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0978,bin-0978:057/131_13,MtrB_TIGR03509,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0978,bin-0978:057/131_14,MtoA,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0158,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0734,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0720,bin-0720:101/229_2,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0720,bin-0720:042/229_81,Cyc1,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0720,bin-0720:042/229_82,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1126,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0802,bin-0802:186/514_2,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0802,bin-0802:352/514_1,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0291,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:375/866_5,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:031/866_4,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:805/866_1,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:805/866_2,Cyc1,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:278/866_3,MtrB_TIGR03509,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:278/866_4,MtrA,Periplasmic_MHC_in_PCC
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:278/866_5,MtrC_TIGR03507,Outer_Surface_MHC
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:278/866_6,MtrC_TIGR03507,Outer_Surface_MHC
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:415/866_1,DFE_0461,Outer_Surface_MHC_in_PCC
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:415/866_3,DFE_0448,Outer_Surface_MHC_in_PCC
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:415/866_2,Not_found,PCC_porin
AM-lipid-02-D2_megahit_metabat_bin-1006,bin-1006:078/866_1,Not_found,Outer_Surface_MHC
AM-lipid-02-D2_megahit_metabat_bin-0733,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0047,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0404,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0160,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0727,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0285,bin-0285:299/511_15,ImcH,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0285,bin-0285:299/511_16,DFE_0461,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1327,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0838,bin-0838:296/420_4,CbcL,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0838,bin-0838:243/420_5,,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0838,bin-0838:274/420_4,DFE_0461,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1187,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0602,bin-0602:294/378_1,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0602,bin-0602:289/378_1,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0602,bin-0602:289/378_2,Cyc1,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0293,bin-0293:080/526_7,CbcL,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0293,bin-0293:304/526_2,ImcH,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0293,bin-0293:304/526_3,CbcL,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0293,bin-0293:460/526_2,DFE_0462,Periplasmic_MHC_in_PCC
AM-lipid-02-D2_megahit_metabat_bin-0293,bin-0293:460/526_5,DFE_0462,Outer_Surface_MHC
AM-lipid-02-D2_megahit_metabat_bin-0287,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0413,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0019,Not_found,Not_found,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1200,bin-1200:1716/1974_4,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1200,bin-1200:0246/1974_1,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1200,bin-1200:0899/1974_4,MtoA,Not_found
AM-lipid-02-D2_megahit_metabat_bin-1200,bin-1200:0899/1974_5,MtrB_TIGR03509,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0209,bin-0209:141/569_4,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0209,bin-0209:209/569_1,Cyc2_repCluster2,Not_found
AM-lipid-02-D2_megahit_metabat_bin-0209,bin-0209:041/569_7,DFE_0449,Outer_Surface_MHC_in_PCC
