MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
Erken-D4_megahit_metabat_bin-1176,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0249,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1223,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0277,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1083,1,0,1,0,0
Erken-D4_megahit_metabat_bin-0917,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0824,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0974,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0453,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0215,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1114,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0135,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1405,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1094,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0353,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0704,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1102,2,0,2,0,0
Erken-D4_megahit_metabat_bin-1031,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1117,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0228,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1242,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1509,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0157,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0299,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0496,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0949,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0686,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1128,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0184,13,1,6,3,3
Erken-D4_megahit_metabat_bin-0851,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0962,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0964,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1474,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1296,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0354,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0842,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1300,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0703,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0729,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0624,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0183,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0150,1,0,1,0,0
Erken-D4_megahit_metabat_bin-1498,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0153,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0130,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0632,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0504,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0973,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0422,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1112,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0836,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1415,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1281,1,0,1,0,0
Erken-D4_megahit_metabat_bin-0633,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0194,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0264,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0558,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1414,1,0,1,0,0
Erken-D4_megahit_metabat_bin-0074,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0147,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0715,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1121,7,1,3,2,1
Erken-D4_megahit_metabat_bin-0175,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0256,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1191,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0537,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1331,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1202,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0024,1,0,1,0,0
Erken-D4_megahit_metabat_bin-1070,5,0,4,0,1
Erken-D4_megahit_metabat_bin-1120,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1432,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0568,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0698,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1066,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0730,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0149,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0778,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1154,1,0,1,0,0
Erken-D4_megahit_metabat_bin-1332,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0236,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0439,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0310,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1214,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0935,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1277,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0956,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0148,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0328,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1289,0,0,0,0,0
Erken-D4_megahit_metabat_bin-1271,0,0,0,0,0
Erken-D4_megahit_metabat_bin-0950,0,0,0,0,0
