MAG,orf,FeGenie_HMM,Shaomei_Type
Ki1-1-6m_megahit_metabat_bin-0573,bin-0573:094/298_23,Cyc2_repCluster2,Not found
Ki1-1-6m_megahit_metabat_bin-1188,bin-1188:431/474_6,MtrB_TIGR03509,Not found
Ki1-1-6m_megahit_metabat_bin-1188,bin-1188:431/474_7,MtoA,Not found
Ki1-1-6m_megahit_metabat_bin-1188,bin-1188:210/474_18,Cyc2_repCluster2,Not found
Ki1-1-6m_megahit_metabat_bin-1188,bin-1188:087/474_8,FoxZ,Not found
Ki1-1-6m_megahit_metabat_bin-0369,bin-0369:216/512_4,CbcL,Not found
Ki1-1-6m_megahit_metabat_bin-0369,bin-0369:171/512_3,DFE_0449,Periplasmic MHC in PCC
Ki1-1-6m_megahit_metabat_bin-0369,bin-0369:171/512_5,DFE_0462,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-0369,bin-0369:171/512_6,DFE_0462,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-0369,bin-0369:256/512_2,DFE_0461,Periplasmic MHC in PCC
Ki1-1-6m_megahit_metabat_bin-0369,bin-0369:187/512_11,Not found,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-0369,bin-0369:256/512_1,Not found,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-0207,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-0836,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-0627,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-0441,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-0840,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:014/281_101,ExtA_pcc_cyt,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:082/281_3,CbcL,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:082/281_4,ImcH,Periplasmic MHC in PCC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:069/281_22,Cyc2_repCluster2,Not found
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:014/281_100,DFE_0449,Periplasmic MHC in PCC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:014/281_103,DFE_0449,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:209/281_2,DFE_0449,Not found
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:274/281_1,DFE_0449,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:003/281_2,Not found,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:082/281_1,Not found,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:143/281_26,Not found,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-1232,bin-1232:216/281_2,Not found,Outer Surface MHC
Ki1-1-6m_megahit_metabat_bin-0913,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-0457,bin-0457:1070/1082_2,Cyc2_repCluster2,Not found
Ki1-1-6m_megahit_metabat_bin-0457,bin-0457:0855/1082_1,MtrB_TIGR03509,Not found
Ki1-1-6m_megahit_metabat_bin-0491,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-0760,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-0456,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-1173,Not found,Not found,Not found
Ki1-1-6m_megahit_metabat_bin-1429,bin-1429:239/246_13,Cyc2_repCluster2,Not found
Ki1-1-6m_megahit_metabat_bin-0513,bin-0513:593/994_6,MtoA,Not found
Ki1-1-6m_megahit_metabat_bin-0381,Not found,Not found,Not found
