MAG,orf,FeGenie_HMM,Shaomei_Type
KMBP001C_metabat_21_contigs,Not found,Not found,Not found
KMBP001C_metabat_122_contigs,NODE_508_length_49010_cov_2.115418_25,Not found,Outer Surface MHC
coassembly_metabat_248_contigs,NODE_11724_length_20768_cov_1.258369_5,MtoA,Not found
coassembly_metabat_248_contigs,NODE_11724_length_20768_cov_1.258369_6,MtrB_TIGR03509,Not found
coassembly_metabat_248_contigs,NODE_1020_length_72223_cov_1.269946_30,CbcL,Not found
coassembly_metabat_248_contigs,NODE_1020_length_72223_cov_1.269946_32,CbcL,Not found
coassembly_metabat_248_contigs,NODE_1020_length_72223_cov_1.269946_33,ImcH,Not found
coassembly_metabat_248_contigs,NODE_165096_length_4296_cov_0.807388_3,DFE_0462,Outer Surface MHC
coassembly_metabat_248_contigs,NODE_24060_length_13758_cov_1.219940_3,DFE_0461,Not found
coassembly_metabat_248_contigs,NODE_30564_length_11959_cov_1.426640_3,DFE_0461,Not found
coassembly_metabat_248_contigs,NODE_294051_length_2979_cov_1.059257_1,Not found,Outer Surface MHC
Desulfobacterales_0034,Not found,Not found,Not found
coassembly_metabat_871_contigs,NODE_582_length_92985_cov_2.147785_91,EetB,Not found
coassembly_metabat_871_contigs,NODE_582_length_92985_cov_2.147785_92,EetA,Not found
coassembly_metabat_901_sub_contigs,NODE_322387_length_2808_cov_0.500186_2,CbcL,Not found
coassembly_metabat_901_sub_contigs,NODE_14422_length_18441_cov_1.201158_7,DFE_0448,Not found
coassembly_metabat_901_sub_contigs,NODE_375729_length_2543_cov_0.432119_1,DFE_0461,Not found
KMBP001B_metabat_228_contigs,NODE_20135_length_6888_cov_1.319184_6,CbcL,Not found
KMBP001B_metabat_228_contigs,NODE_29771_length_5417_cov_1.081474_3,DFE_0449,Not found
KMBP001B_metabat_228_contigs,NODE_4662_length_16102_cov_1.258967_10,DFE_0461,Periplasmic MHC in PCC
KMBP001B_metabat_228_contigs,NODE_4662_length_16102_cov_1.258967_7,DFE_0449,Outer Surface MHC
KMBP001B_metabat_228_contigs,NODE_6300_length_13619_cov_1.518974_3,DFE_0462,Outer Surface MHC
KMBP001B_metabat_228_contigs,NODE_7530_length_12300_cov_1.059065_2,DFE_0462,Outer Surface MHC
KMBP001B_metabat_228_contigs,NODE_7530_length_12300_cov_1.059065_5,DFE_0462,Periplasmic MHC in PCC
KMBP001B_metabat_228_contigs,NODE_9972_length_10495_cov_0.945698_6,DFE_0448,Not found
KMBP001B_metabat_228_contigs,NODE_6300_length_13619_cov_1.518974_5,Not found,Outer Surface MHC
KMBP001B_metabat_228_contigs,NODE_72629_length_3116_cov_0.763131_1,Not found,Outer Surface MHC
KMBP001B_metabat_228_contigs,NODE_90936_length_2702_cov_1.431845_2,Not found,Outer Surface MHC
coassembly_metabat_920_contigs,NODE_119088_length_5271_cov_1.027994_3,Not found,Outer Surface MHC
coassembly_maxbin_bins_140_contigs,Not found,Not found,Not found
KMBP001A_metabat_59_contigs,NODE_78_length_109757_cov_1.962428_44,CbcL,Not found
KMBP001A_metabat_59_contigs,NODE_78_length_109757_cov_1.962428_45,CbcL,Not found
KMBP001A_metabat_59_contigs,NODE_11_length_239109_cov_2.250454_108,CbcL,Not found
KMBP001A_metabat_59_contigs,NODE_196_length_74612_cov_1.991059_53,643596352 YP_002493935 {pc} hypothetical protein [Anaeromyxobacter dehalogenans 2CP-1: NC_011891],Outer Surface MHC in PCC
KMBP001A_metabat_59_contigs,NODE_196_length_74612_cov_1.991059_54,643596351 YP_002493934 {porin} hypothetical protein [Anaeromyxobacter dehalogenans 2CP-1: NC_011891],PCC porin
KMBP001A_metabat_59_contigs,NODE_11_length_239109_cov_2.250454_110,DFE_0448,Not found
KMBP001A_metabat_59_contigs,NODE_196_length_74612_cov_1.991059_56,DFE_0465,Not found
KMBP001A_metabat_59_contigs,NODE_2113_length_25216_cov_2.292957_3,DFE_0449,Not found
KMBP001A_metabat_59_contigs,NODE_426_length_54773_cov_2.145171_5,MtrC_TIGR03507,Not found
KMBP001A_metabat_59_contigs,NODE_558_length_48851_cov_2.326328_16,DFE_0461,Not found
KMBP001A_metabat_59_contigs,NODE_196_length_74612_cov_1.991059_55,Not found,Outer Surface MHC in PCC
coassembly_metabat_41_contigs,Not found,Not found,Not found
coassembly_maxbin_bins_141_contigs,Not found,Not found,Not found
Geobacterales_0030,Geobacterales_0030_256_1,ExtB_porin,PCC porin
Geobacterales_0030,Geobacterales_0030_256_2,ExtC_pcc_lp_cyt,Outer Surface MHC in PCC
Geobacterales_0030,Geobacterales_0030_5_5,CbcA,Not found
Geobacterales_0030,Geobacterales_0030_5_6,CbcB,Not found
Geobacterales_0030,Geobacterales_0030_397_3,CbcL,Not found
Geobacterales_0030,Geobacterales_0030_187_9,Cyc2_repCluster3,Not found
Geobacterales_0030,Geobacterales_0030_256_3,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],Outer Surface MHC in PCC
Geobacterales_0030,Geobacterales_0030_332_5,EetB,Not found
Geobacterales_0030,Geobacterales_0030_332_6,EetA,Not found
Geobacterales_0030,Geobacterales_0030_391_6,DFE_0448,Outer Surface MHC
Geobacterales_0030,Geobacterales_0030_397_6,DFE_0448,Not found
Geobacterales_0030,Geobacterales_0030_146_2,Not found,Periplasmic MHC in PCC
Geobacterales_0030,Geobacterales_0030_146_1,Not found,Outer Surface MHC
coassembly_metabat_145_contigs,NODE_2256_length_49088_cov_3.709585_32,DFE_0448,Not found
coassembly_metabat_145_contigs,NODE_3693_length_38431_cov_3.740575_30,DFE_0449,Not found
coassembly_metabat_145_contigs,NODE_415_length_105179_cov_4.086700_63,FoxZ,Not found
coassembly_metabat_145_contigs,NODE_64350_length_7683_cov_3.383536_9,DFE_0462,Not found
KMBP001C_maxbin_bins_125_sub_contigs,NODE_3069_length_18197_cov_1.667681_9,CbcB,Not found
KMBP001C_maxbin_bins_125_sub_contigs,NODE_112_length_100552_cov_1.415434_22,MtrC_TIGR03507,Outer Surface MHC
KMBP001C_maxbin_bins_125_sub_contigs,NODE_112_length_100552_cov_1.415434_25,MtrC_TIGR03507,Outer Surface MHC
KMBP001C_maxbin_bins_125_sub_contigs,NODE_112_length_100552_cov_1.415434_31,MtrB_TIGR03509,Not found
KMBP001C_maxbin_bins_125_sub_contigs,NODE_112_length_100552_cov_1.415434_32,MtoA,Periplasmic MHC in PCC
KMBP001C_maxbin_bins_125_sub_contigs,NODE_112_length_100552_cov_1.415434_33,MtrC_TIGR03507,Outer Surface MHC
KMBP001C_maxbin_bins_125_sub_contigs,NODE_3069_length_18197_cov_1.667681_8,DFE_0461,Not found
KMBP001C_maxbin_bins_125_sub_contigs,NODE_9498_length_9603_cov_1.490713_10,DFE_0461,Outer Surface MHC
KMBP001C_maxbin_bins_125_sub_contigs,NODE_9498_length_9603_cov_1.490713_9,DFE_0449,Periplasmic MHC in PCC
KMBP001C_maxbin_bins_125_sub_contigs,NODE_112_length_100552_cov_1.415434_15,Not found,Periplasmic MHC in PCC
KMBP001C_metabat_176_contigs,NODE_6_length_328970_cov_2.687194_257,DFE_0448,Not found
KMBP001C_metabat_176_contigs,NODE_80_length_113765_cov_3.034496_48,Not found,Outer Surface MHC
KMBP001C_metabat_176_contigs,NODE_250_length_71596_cov_2.712952_27,Not found,Outer Surface MHC
Syntrophobacterales_0009,Syntrophobacterales_0009_540_4,CbcB,Not found
Syntrophobacterales_0009,Syntrophobacterales_0009_434_4,EetB,Not found
Syntrophobacterales_0009,Syntrophobacterales_0009_434_5,EetA,Not found
Syntrophobacterales_0009,Syntrophobacterales_0009_384_1,Not found,Outer Surface MHC
KMBP001E_maxbin_bins_021_contigs,Not found,Not found,Not found
coassembly_metabat_558_contigs,NODE_269074_length_3154_cov_2.638256_1,CbcL,Not found
coassembly_metabat_558_contigs,NODE_11917_length_20571_cov_1.950010_1,,Not found
coassembly_metabat_558_contigs,NODE_17824_length_16358_cov_1.995071_10,DFE_0449,Periplasmic MHC in PCC
coassembly_metabat_558_contigs,NODE_17824_length_16358_cov_1.995071_7,DFE_0449,Outer Surface MHC
coassembly_metabat_558_contigs,NODE_17824_length_16358_cov_1.995071_9,DFE_0449,Outer Surface MHC
coassembly_metabat_558_contigs,NODE_63108_length_7773_cov_2.294795_1,,Not found
coassembly_metabat_558_contigs,NODE_69175_length_7352_cov_1.995986_5,Not found,Outer Surface MHC
coassembly_metabat_558_contigs,NODE_117617_length_5311_cov_2.203704_3,Not found,Outer Surface MHC
KMBP001E_concoct_224_contigs,Not found,Not found,Not found
KMBP001C_concoct_49_contigs,NODE_3040_length_18319_cov_1.111038_14,CbcL,Periplasmic MHC in PCC
KMBP001C_concoct_49_contigs,NODE_3040_length_18319_cov_1.111038_15,CbcL,Not found
KMBP001C_concoct_49_contigs,NODE_3040_length_18319_cov_1.111038_16,DFE_0449,Outer Surface MHC
KMBP001C_concoct_49_contigs,NODE_3040_length_18319_cov_1.111038_13,Not found,Periplasmic MHC in PCC
KMBP001C_metabat_174_contigs,NODE_1899_length_23885_cov_1.168785_5,EetA,Not found
KMBP001C_metabat_174_contigs,NODE_1899_length_23885_cov_1.168785_6,EetB,Not found
coassembly_metabat_633_contigs,NODE_5699_length_30701_cov_1.294106_19,DFE_0449,Not found
coassembly_metabat_633_contigs,NODE_27522_length_12707_cov_1.172417_13,Not found,Outer Surface MHC
KMBP001B_metabat_115_contigs,Not found,Not found,Not found
KMBP001E_maxbin_bins_150_sub_contigs,NODE_136365_length_2389_cov_1.948276_2,DFE_0449,Not found
