MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
MJ130729B_megahit_metabat_bin-608,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-450,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-191,bin-191:0119/1167_1,MtoA,Not_found,Not_found
MJ130729B_megahit_metabat_bin-191,bin-191:0119/1167_2,MtrB_TIGR03509,Not_found,Not_found
MJ130729B_megahit_metabat_bin-191,bin-191:1084/1167_2,MtoA,Not_found,Not_found
MJ130729B_megahit_metabat_bin-191,bin-191:1084/1167_3,MtrB_TIGR03509,Not_found,Not_found
MJ130729B_megahit_metabat_bin-191,bin-191:0792/1167_2,MtrB_TIGR03509,Not_found,Not_found
MJ130729B_megahit_metabat_bin-636,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-576,bin-576:180/744_2,Cyc2_repCluster2,Not_found,Not_found
MJ130729B_megahit_metabat_bin-071,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-609,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-346,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:487/737_35,OmcF,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:216/737_2,CbcL,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:638/737_19,CbcB,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:667/737_6,Cyc1,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:667/737_7,Cyc2_repCluster2,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:204/737_6,DFE_0448,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:211/737_9,DFE_0449,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:357/737_6,DFE_0448,Not_found,Not_found
MJ130729B_megahit_metabat_bin-013,bin-013:487/737_18,MtoA,Not_found,Not_found
MJ130729B_megahit_metabat_bin-642,bin-642:227/290_12,MtoA,Not_found,Not_found
MJ130729B_megahit_metabat_bin-642,bin-642:248/290_10,MtrB_TIGR03509,Not_found,Not_found
MJ130729B_megahit_metabat_bin-712,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-669,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-502,bin-502:237/344_2,MtoA,Not_found,Not_found
MJ130729B_megahit_metabat_bin-072,bin-072:059/324_3,Cyc1,Not_found,Not_found
MJ130729B_megahit_metabat_bin-072,bin-072:059/324_4,Cyc2_repCluster2,Not_found,Not_found
MJ130729B_megahit_metabat_bin-446,bin-446:401/424_2,Cyc2_repCluster3,Not_found,Not_found
MJ130729B_megahit_metabat_bin-446,bin-446:061/424_1,Cyc2_repCluster1,Not_found,Not_found
MJ130729B_megahit_metabat_bin-239,bin-239:060/208_11,EetB,Not_found,Not_found
MJ130729B_megahit_metabat_bin-239,bin-239:060/208_12,EetA,Not_found,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:187/426_4,CbcB,Not_found,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:372/426_1,CbcL,Not_found,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:082/426_12,Cyc1,Not_found,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:082/426_13,Cyc2_repCluster2,Not_found,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:131/426_1,DFE_0462,Outer_Surface_MHC,mtrC
MJ130729B_megahit_metabat_bin-369,bin-369:187/426_3,DFE_0462,Not_found,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:234/426_28,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:278/426_3,DFE_0462,Outer_Surface_MHC,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:234/426_27,Not_found,PCC_porin,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:131/426_2,Not_found,Periplasmic_MHC_in_PCC,Not_found
MJ130729B_megahit_metabat_bin-369,bin-369:231/426_1,Not_found,Outer_Surface_MHC,mtrC
MJ130729B_megahit_metabat_bin-289,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-701,Not_found,Not_found,Not_found,Not_found
MJ130729B_megahit_metabat_bin-368,bin-368:1003/1177_6,CbcB,Not_found,Not_found
MJ130729B_megahit_metabat_bin-368,bin-368:0063/1177_2,EetB,Not_found,Not_found
MJ130729B_megahit_metabat_bin-368,bin-368:0063/1177_3,EetA,Not_found,Not_found
MJ130729B_megahit_metabat_bin-265,bin-265:272/355_1,DFE_0449,Not_found,Not_found
MJ130729B_megahit_metabat_bin-487,bin-487:045/139_51,Cyc2_repCluster3,Not_found,Not_found
MJ130729B_megahit_metabat_bin-487,bin-487:014/139_9,Cyc2_repCluster3,Not_found,Not_found
