MAG,orf,FeGenie_HMM,Shaomei_Type
Erken-D1_megahit_metabat_bin-0262,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1050,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0187,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1779,bin-1779:0579/1007_3,ImcH,Not found
Erken-D1_megahit_metabat_bin-1779,bin-1779:0368/1007_1,CbcL,Not found
Erken-D1_megahit_metabat_bin-1779,bin-1779:0572/1007_1,DFE_0461,Not found
Erken-D1_megahit_metabat_bin-1779,bin-1779:1002/1007_2,DFE_0449,Not found
Erken-D1_megahit_metabat_bin-0643,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1968,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1542,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1984,bin-1984:0533/1061_1,Not found,Outer Surface MHC
Erken-D1_megahit_metabat_bin-0494,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0005,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0900,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1992,bin-1992:148/879_1,DFE_0462,Outer Surface MHC
Erken-D1_megahit_metabat_bin-1992,bin-1992:148/879_3,DFE_0449,Periplasmic MHC in PCC
Erken-D1_megahit_metabat_bin-1458,bin-1458:705/751_3,DFE_0461,Not found
Erken-D1_megahit_metabat_bin-1411,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1797,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0766,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1873,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1875,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0630,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1218,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0843,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1817,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1670,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0855,bin-0855:231/393_4,DFE_0449,Not found
Erken-D1_megahit_metabat_bin-0644,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1112,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0619,bin-0619:0530/1168_3,DFE_0462,Not found
Erken-D1_megahit_metabat_bin-0619,bin-0619:0522/1168_1,Not found,Outer Surface MHC
Erken-D1_megahit_metabat_bin-0619,bin-0619:0854/1168_3,Not found,Outer Surface MHC
Erken-D1_megahit_metabat_bin-0886,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1877,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1945,bin-1945:942/950_3,sulfocyanin,Not found
Erken-D1_megahit_metabat_bin-0264,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0404,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1012,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0719,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1562,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-2002,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0675,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1764,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0209,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1072,bin-1072:070/197_2,EetB,Not found
Erken-D1_megahit_metabat_bin-1072,bin-1072:070/197_3,EetA,Not found
Erken-D1_megahit_metabat_bin-0943,bin-0943:610/819_1,Not found,Outer Surface MHC
Erken-D1_megahit_metabat_bin-1067,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0604,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1567,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1966,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0546,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-0613,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1857,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1062,bin-1062:073/528_2,DFE_0461,Not found
Erken-D1_megahit_metabat_bin-0055,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1912,Not found,Not found,Not found
Erken-D1_megahit_metabat_bin-1703,bin-1703:235/247_2,Not found,Outer Surface MHC
