MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
M_DeepCast_100m_m2_072,1,0,1,0,0
M_DeepCast_50m_m2_049,0,0,0,0,0
K_DeepCast_1200m_m2_272,0,0,0,0,0
M_surface_9_mx_152,1,0,1,0,0
M_DeepCast_100m_m1_317,1,0,1,0,0
M_DeepCast_100m_m2_214,0,0,0,0,0
K_Offshore_40m_mx_035,0,0,0,0,0
M_surface_10_m2_179,0,0,0,0,0
K_DeepCast_35m_m1_288,0,0,0,0,0
K_Offshore_40m_m1_069,0,0,0,0,0
K_DeepCast_65m_m1_015,0,0,0,0,0
K_Offshore_surface_m2_092,0,0,0,0,0
M_DeepCast_65m_m2_016,0,0,0,0,0
M_DeepCast_200m_m2_133,0,0,0,0,0
M_DeepCast_50m_m2_151,0,0,0,0,0
K_Offshore_80m_m1_220,0,0,0,0,0
K_DeepCast_300m_m2_067,0,0,0,0,0
K_DeepCast_100m_m2_028,0,0,0,0,0
K_DeepCast_65m_m1_133,0,0,0,0,0
M_surface_10_mx_236,0,0,0,0,0
K_DeepCast_150m_m2_048,0,0,0,0,0
K_Offshore_80m_m2_183,0,0,0,0,0
K_DeepCast_35m_m2_096,0,0,0,0,0
K_Offshore_80m_m2_048,0,0,0,0,0
K_DeepCast_150m_m1_388,1,0,1,0,0
K_DeepCast_150m_m2_126,0,0,0,0,0
K_DeepCast_1200m_m2_204,0,0,0,0,0
K_DeepCast_150m_m2_259,1,0,1,0,0
K_DeepCast_65m_m2_221,0,0,0,0,0
M_DeepCast_400m_m1_331,2,1,0,1,0
K_Offshore_80m_m1_031,0,0,0,0,0
M_surface_10_m2_213,0,0,0,0,0
K_DeepCast_100m_m2_152,0,0,0,0,0
M_DeepCast_50m_m1_285,1,0,1,0,0
M_DeepCast_65m_m1_019,0,0,0,0,0
M_surface_9_mx_130,0,0,0,0,0
M_surface_10_m2_180,0,0,0,0,0
K_Offshore_surface_mx_261,0,0,0,0,0
K_DeepCast_65m_m2_129,0,0,0,0,0
K_DeepCast_150m_m1_199,0,0,0,0,0
M_DeepCast_65m_m1_287,1,0,1,0,0
M_surface_9_m2_101,0,0,0,0,0
M_DeepCast_100m_m2_010,0,0,0,0,0
M_DeepCast_65m_m2_181,2,0,2,0,0
K_Offshore_80m_m2_197,0,0,0,0,0
M_surface_9_m1_017,0,0,0,0,0
K_DeepCast_150m_m2_272,0,0,0,0,0
K_Offshore_80m_m2_049,0,0,0,0,0
K_DeepCast_100m_m2_321,2,0,1,0,1
K_Offshore_80m_m2_119,0,0,0,0,0
K_DeepCast_150m_m2_127,0,0,0,0,0
K_DeepCast_100m_m2_289,0,0,0,0,0
M_surface_9_m2_177,0,0,0,0,0
M_DeepCast_100m_m2_066,3,0,1,0,2
M_surface_9_m1_271,0,0,0,0,0
K_DeepCast_100m_m1_149,0,0,0,0,0
K_DeepCast_250m_m1_043,0,0,0,0,0
K_Offshore_120m_mx_094,1,0,1,0,0
K_Offshore_80m_m2_211,1,0,1,0,0
K_DeepCast_150m_m2_049,0,0,0,0,0
M_DeepCast_50m_m2_133,1,0,1,0,0
K_DeepCast_35m_m1_264,0,0,0,0,0
M_DeepCast_400m_m2_244,3,0,1,0,2
M_DeepCast_65m_mx_236,1,0,1,0,0
