MAG,orf,FeGenie_HMM,Shaomei_Type
D-3_megahit_metabat_bin-66,bin-66:20/42_8,Cyc2_repCluster3,Not found
D-3_megahit_metabat_bin-66,bin-66:18/42_95,DFE_0461,Not found
D-3_megahit_metabat_bin-66,bin-66:25/42_43,Cyc2_repCluster1,Not found
D-3_megahit_metabat_bin-03,bin-03:184/887_4,Cyc2_repCluster2,Not found
D-3_megahit_metabat_bin-03,bin-03:550/887_1,CbcL,Not found
D-3_megahit_metabat_bin-03,bin-03:149/887_1,CbcL,Not found
D-3_megahit_metabat_bin-03,bin-03:631/887_2,DFE_0461,Not found
D-3_megahit_metabat_bin-28,bin-28:14/52_150,Cyc2_repCluster1,Not found
D-3_megahit_metabat_bin-28,bin-28:12/52_47,Cyc2_repCluster3,Not found
D-3_megahit_metabat_bin-28,bin-28:49/52_25,Cyc2_repCluster3,Not found
D-3_megahit_metabat_bin-28,bin-28:08/52_37,Cyc2_repCluster3,Not found
D-3_megahit_metabat_bin-28,bin-28:13/52_1,Cyc2_repCluster3,Not found
D-3_megahit_metabat_bin-28,bin-28:12/52_56,DFE_0461,Not found
D-3_megahit_metabat_bin-28,bin-28:12/52_95,Cyc2_repCluster3,Not found
D-3_megahit_metabat_bin-19,bin-19:190/535_2,Cyc2_repCluster2,Not found
D-3_megahit_metabat_bin-19,bin-19:192/535_3,MtoA,Not found
D-3_megahit_metabat_bin-19,bin-19:192/535_4,MtrB_TIGR03509,Not found
D-3_megahit_metabat_bin-19,bin-19:218/535_3,Not found,Outer Surface MHC
D-3_megahit_metabat_bin-26,bin-26:144/603_15,CbcL,Not found
D-3_megahit_metabat_bin-26,bin-26:158/603_2,Cyc2_repCluster3,Not found
D-3_megahit_metabat_bin-26,bin-26:045/603_5,CbcA,Not found
D-3_megahit_metabat_bin-26,bin-26:167/603_1,CbcA,Not found
D-3_megahit_metabat_bin-26,bin-26:167/603_2,CbcB,Not found
D-3_megahit_metabat_bin-26,bin-26:285/603_11,ImcH,Not found
D-3_megahit_metabat_bin-26,bin-26:522/603_6,OmcF,Not found
D-3_megahit_metabat_bin-26,bin-26:534/603_5,637127430 NP_953784 {porin} ombB hypothetical protein [Geobacter sulfurreducens PCA: NC_002939],PCC porin
D-3_megahit_metabat_bin-26,bin-26:534/603_6,642769371 YP_002140171 {pc} hypothetical protein [Geobacter bemidjiensis Bem: NC_011146],Outer Surface MHC in PCC
D-3_megahit_metabat_bin-26,bin-26:534/603_7,640548485 YP_001229768 {omc} hypothetical protein [Geobacter uraniumreducens Rf4: NC_009483],Outer Surface MHC in PCC
D-3_megahit_metabat_bin-26,bin-26:076/603_4,DFE_0449,Not found
D-3_megahit_metabat_bin-26,bin-26:144/603_13,DFE_0448,Not found
D-3_megahit_metabat_bin-26,bin-26:167/603_3,DFE_0448,Not found
D-3_megahit_metabat_bin-26,bin-26:386/603_3,DFE_0462,Outer Surface MHC
D-3_megahit_metabat_bin-26,bin-26:349/603_14,Not found,Periplasmic MHC in PCC
D-3_megahit_metabat_bin-26,bin-26:349/603_21,Not found,Periplasmic MHC in PCC
D-3_megahit_metabat_bin-26,bin-26:065/603_2,Not found,Outer Surface MHC
D-3_megahit_metabat_bin-26,bin-26:069/603_1,Not found,Outer Surface MHC
D-3_megahit_metabat_bin-26,bin-26:110/603_3,Not found,Outer Surface MHC
D-3_megahit_metabat_bin-26,bin-26:158/603_1,Not found,Outer Surface MHC
D-3_megahit_metabat_bin-26,bin-26:349/603_20,Not found,Outer Surface MHC
D-3_megahit_metabat_bin-26,bin-26:378/603_1,Not found,Outer Surface MHC
D-3_megahit_metabat_bin-26,bin-26:539/603_6,Not found,Outer Surface MHC
D-3_megahit_metabat_bin-57,Not found,Not found,Not found
