
3300020733-bin_17,Ga0214172_1000055_29,Ga0214172_1000055_32
3300021138-bin_3,Ga0214164_1000406_8,Ga0214164_1000406_4
3300021138-bin_3,Ga0214164_1000406_8,Ga0214164_1000406_6
3300021138-bin_3,Ga0214164_1000406_10,Ga0214164_1000406_4
3300021138-bin_3,Ga0214164_1000406_10,Ga0214164_1000406_6
3300020705-bin_3,Ga0214177_1000014_8,Ga0214177_1000014_10
3300020705-bin_3,Ga0214177_1000014_8,Ga0214177_1000014_12
3300020705-bin_3,Ga0214177_1000014_9,Ga0214177_1000014_10
3300020705-bin_3,Ga0214177_1000014_9,Ga0214177_1000014_12
3300021142-bin_26,Ga0214192_1000271_14,Ga0214192_1000271_18
3300021142-bin_26,Ga0214192_1000271_17,Ga0214192_1000271_18
